"composer","composerLabel"
"http://data.carnegiehall.org/names/39405","Terence Blanchard"
"http://data.carnegiehall.org/names/20643","Alfred Mirovitch"
"http://data.carnegiehall.org/names/44949","Martti Turunen"
"http://data.carnegiehall.org/names/40566","George Tsontakis"
"http://data.carnegiehall.org/names/28930","Joseph Tamosaitis"
"http://data.carnegiehall.org/names/16963","Raimonds Pauls"
"http://data.carnegiehall.org/names/124581","John Kay"
"http://data.carnegiehall.org/names/73822","Walter Kitundu"
"http://data.carnegiehall.org/names/20046","Elvis Costello"
"http://data.carnegiehall.org/names/23814","Samuel Zyman"
"http://data.carnegiehall.org/names/79522","David Stambler"
"http://data.carnegiehall.org/names/127521","Giampiero Bugliarello"
"http://data.carnegiehall.org/names/65846","Bogdan Babich"
"http://data.carnegiehall.org/names/33042","Dave Grusin"
"http://data.carnegiehall.org/names/36787","Chris Brubeck"
"http://data.carnegiehall.org/names/21135","Luciano Salvatore"
"http://data.carnegiehall.org/names/124716","Alan Hull"
"http://data.carnegiehall.org/names/61181","Frederick Jacobi"
"http://data.carnegiehall.org/names/53209","Leo Kraft"
"http://data.carnegiehall.org/names/54707","Nicholas J. Elsenheimer"
"http://data.carnegiehall.org/names/104527","Louis Farrakhan"
"http://data.carnegiehall.org/names/58958","Max Donner"
"http://data.carnegiehall.org/names/75806","William Bland"
"http://data.carnegiehall.org/names/58445","Jamey Haddad"
"http://data.carnegiehall.org/names/58626","George Siemonn"
"http://data.carnegiehall.org/names/75301","Albert Hay Malotte"
"http://data.carnegiehall.org/names/109658","Jeremy Smith"
"http://data.carnegiehall.org/names/28255","Morris Rosenzweig"
"http://data.carnegiehall.org/names/121649","Chad Smith"
"http://data.carnegiehall.org/names/10391","Mark Delpriora"
"http://data.carnegiehall.org/names/15516","Steven L. Rosenhaus"
"http://data.carnegiehall.org/names/42396","Frank Veloz"
"http://data.carnegiehall.org/names/121981","Jonathan Jay"
"http://data.carnegiehall.org/names/31245","Herman Wohl"
"http://data.carnegiehall.org/names/81450","Johannes Schwaiger"
"http://data.carnegiehall.org/names/45344","Eddie Palmieri"
"http://data.carnegiehall.org/names/52359","Sun Ra"
"http://data.carnegiehall.org/names/68760","Harvey B. Gaul"
"http://data.carnegiehall.org/names/2289","Sonny Stitt"
"http://data.carnegiehall.org/names/17251","Walter Petzet"
"http://data.carnegiehall.org/names/28259","Anna Pinto"
"http://data.carnegiehall.org/names/14959","Kevin Dolan"
"http://data.carnegiehall.org/names/29100","Harry Carney"
"http://data.carnegiehall.org/names/54209","Ralph C. Schultz"
"http://data.carnegiehall.org/names/104197","Anna Lucia Richter"
"http://data.carnegiehall.org/names/27066","Susan Follari"
"http://data.carnegiehall.org/names/120116","Lela Kaplowitz"
"http://data.carnegiehall.org/names/30559","Jack Chaikin"
"http://data.carnegiehall.org/names/10625","George Duke"
"http://data.carnegiehall.org/names/50629","Harry E. Arnold"
"http://data.carnegiehall.org/names/69809","Mark Bucci"
"http://data.carnegiehall.org/names/59262","Scott Wheeler"
"http://data.carnegiehall.org/names/31438","Inez Bull"
"http://data.carnegiehall.org/names/38267","Samuel Jones"
"http://data.carnegiehall.org/names/26726","Marvin Hamlisch"
"http://data.carnegiehall.org/names/43367","Frank H. Ilchuk"
"http://data.carnegiehall.org/names/130359","Jasmine Barnes"
"http://data.carnegiehall.org/names/38343","Dong-il Sheen"
"http://data.carnegiehall.org/names/130858","Jan Steinsdörfer"
"http://data.carnegiehall.org/names/47126","John Jacob Niles"
"http://data.carnegiehall.org/names/26438","Victoria Bond"
"http://data.carnegiehall.org/names/74244","Vic Mizzy"
"http://data.carnegiehall.org/names/127284","Ricky Persaud Jr."
"http://data.carnegiehall.org/names/28825","John Corigliano"
"http://data.carnegiehall.org/names/66536","Bobby Plater"
"http://data.carnegiehall.org/names/32018","Abraham Ellstein"
"http://data.carnegiehall.org/names/97214","Atsumasa Nakabayashi"
"http://data.carnegiehall.org/names/11559","Titta Ruffo"
"http://data.carnegiehall.org/names/26866","H. Alexander Matthews"
"http://data.carnegiehall.org/names/3700","Orville Hammond"
"http://data.carnegiehall.org/names/77956","China Forbes"
"http://data.carnegiehall.org/names/129379","Jianfang Yu"
"http://data.carnegiehall.org/names/16537","Pablo Rieppi"
"http://data.carnegiehall.org/names/11807","Francis P. Schmitt"
"http://data.carnegiehall.org/names/87698","Yasuko Mitsui"
"http://data.carnegiehall.org/names/53241","Louise Tayengco"
"http://data.carnegiehall.org/names/91706","Gail Kubik"
"http://data.carnegiehall.org/names/117092","Desmond Earley"
"http://data.carnegiehall.org/names/60949","Marcelita Lopez Kabayao"
"http://data.carnegiehall.org/names/51896","Pietro Porcasi"
"http://data.carnegiehall.org/names/37686","Rob McConnell"
"http://data.carnegiehall.org/names/78806","Fredric Vonn"
"http://data.carnegiehall.org/names/75404","Yuri Blinov"
"http://data.carnegiehall.org/names/34217","Gerry Eastman"
"http://data.carnegiehall.org/names/66127","Bill Gregory"
"http://data.carnegiehall.org/names/34855","Jean-Pierre Schmitt"
"http://data.carnegiehall.org/names/28671","Edward Kilenyi"
"http://data.carnegiehall.org/names/15834","Tito Puente"
"http://data.carnegiehall.org/names/19986","Eric Moe"
"http://data.carnegiehall.org/names/130458","Norman Bloom"
"http://data.carnegiehall.org/names/24743","Gerardo Gandini"
"http://data.carnegiehall.org/names/48254","Ballington Booth"
"http://data.carnegiehall.org/names/67016","Renaldo ""Obie"" Benson"
"http://data.carnegiehall.org/names/49871","Harvey Sollberger"
"http://data.carnegiehall.org/names/93575","Tanya Anisimova"
"http://data.carnegiehall.org/names/100310","Ben Karbowski"
"http://data.carnegiehall.org/names/90616","Brooklyn Rider"
"http://data.carnegiehall.org/names/22014","John Handy"
"http://data.carnegiehall.org/names/1785","Teresa Carreño"
"http://data.carnegiehall.org/names/129979","Manuel González"
"http://data.carnegiehall.org/names/56399","Siedah Garrett"
"http://data.carnegiehall.org/names/61109","Enrico"
"http://data.carnegiehall.org/names/130045","Greg Walton"
"http://data.carnegiehall.org/names/37141","Nina Simone"
"http://data.carnegiehall.org/names/58931","Nicola Laucella"
"http://data.carnegiehall.org/names/43003","Johnny Otis"
"http://data.carnegiehall.org/names/28758","Edwin McArthur"
"http://data.carnegiehall.org/names/63526","Eric Dolphy"
"http://data.carnegiehall.org/names/47465","Wibi Soerjadi"
"http://data.carnegiehall.org/names/44492","Ernest Seitz"
"http://data.carnegiehall.org/names/64306","Danny Kortchmar"
"http://data.carnegiehall.org/names/16364","Ryan Edwards"
"http://data.carnegiehall.org/names/18080","Thomas Egan"
"http://data.carnegiehall.org/names/21989","Michael Flynn"
"http://data.carnegiehall.org/names/47733","Purnell Fleetwood Hall"
"http://data.carnegiehall.org/names/25624","Rebecca Henderson"
"http://data.carnegiehall.org/names/48971","Donald Neuen"
"http://data.carnegiehall.org/names/42739","Spencer Clay"
"http://data.carnegiehall.org/names/45360","Armen Donelian"
"http://data.carnegiehall.org/names/59868","Albano Seismit-Doda"
"http://data.carnegiehall.org/names/22177","Glen Cortese"
"http://data.carnegiehall.org/names/31096","Anthony F. Paganucci"
"http://data.carnegiehall.org/names/8353","John Koch"
"http://data.carnegiehall.org/names/47859","Ralph Benatzky"
"http://data.carnegiehall.org/names/82434","Carol Alban"
"http://data.carnegiehall.org/names/6436","Daniel Butterfield"
"http://data.carnegiehall.org/names/53595","William Levi Dawson"
"http://data.carnegiehall.org/names/13466","Otto Goritz"
"http://data.carnegiehall.org/names/23616","Elsa Maxwell"
"http://data.carnegiehall.org/names/104124","Ines Trickovic"
"http://data.carnegiehall.org/names/21499","Ethan Iverson"
"http://data.carnegiehall.org/names/102607","Clarisse Valbon"
"http://data.carnegiehall.org/names/63462","Robbie Krieger"
"http://data.carnegiehall.org/names/7518","Fredrika Cooke"
"http://data.carnegiehall.org/names/95964","Lucile Anderson"
"http://data.carnegiehall.org/names/55809","Wadada Leo Smith"
"http://data.carnegiehall.org/names/129777","Hanna Benn"
"http://data.carnegiehall.org/names/52619","Frank Zappa"
"http://data.carnegiehall.org/names/28897","Frank London"
"http://data.carnegiehall.org/names/130502","Marcus Mumford"
"http://data.carnegiehall.org/names/55754","Philip Dunigan"
"http://data.carnegiehall.org/names/121379","Laureano Quant"
"http://data.carnegiehall.org/names/72465","Payton MacDonald"
"http://data.carnegiehall.org/names/91477","Yair Dalal"
"http://data.carnegiehall.org/names/65464","Angus Martin"
"http://data.carnegiehall.org/names/42045","Erick Ramos"
"http://data.carnegiehall.org/names/55558","Marie von Hammer"
"http://data.carnegiehall.org/names/114180","Alexander Bellow"
"http://data.carnegiehall.org/names/33334","Christian Wolff"
"http://data.carnegiehall.org/names/8364","Vinko Globokar"
