"composer","composerLabel"
"http://data.carnegiehall.org/names/1016604","Marco Katz"
"http://data.carnegiehall.org/names/1016605","John N. Klohr"
"http://data.carnegiehall.org/names/1016607","Chip McNeill"
"http://data.carnegiehall.org/names/1016608","Matt Harris"
"http://data.carnegiehall.org/names/1016586","Johannes Kalitzke"
"http://data.carnegiehall.org/names/1016590","Jerry Ragovoy"
"http://data.carnegiehall.org/names/1016592","Andrew Loog Oldham"
"http://data.carnegiehall.org/names/1016594","Eduardo Gamboa"
"http://data.carnegiehall.org/names/1016576","Juan D'Arienzo"
"http://data.carnegiehall.org/names/1016582","Adriaen Valerius"
"http://data.carnegiehall.org/names/1016570","Pitagua"
"http://data.carnegiehall.org/names/1016571","Eduardo Arolas"
"http://data.carnegiehall.org/names/1016572","Ambrosio Radrizzani"
"http://data.carnegiehall.org/names/1016574","Juan Carlos Cobián"
"http://data.carnegiehall.org/names/1016575","José Tinelli"
"http://data.carnegiehall.org/names/1016560","Jenny Beck"
"http://data.carnegiehall.org/names/1016561","Chris Williams"
"http://data.carnegiehall.org/names/1016562","Anna Pidgorna"
"http://data.carnegiehall.org/names/1016563","Edmund Finnis"
"http://data.carnegiehall.org/names/1016568","Juan Cedrón"
"http://data.carnegiehall.org/names/1016569","Pablo Escobar"
"http://data.carnegiehall.org/names/1016551","E. Rosza"
"http://data.carnegiehall.org/names/1016555","Bryan Page"
"http://data.carnegiehall.org/names/1016556","Chris Rogerson"
"http://data.carnegiehall.org/names/1016557","James Fritschel"
"http://data.carnegiehall.org/names/1016558","Sergey Khvoshchinsky"
"http://data.carnegiehall.org/names/1016545","James Armstrong"
"http://data.carnegiehall.org/names/1016546","Melville Smith"
"http://data.carnegiehall.org/names/1016547","Ben Quashen"
"http://data.carnegiehall.org/names/1016548","Julian Gardiner"
"http://data.carnegiehall.org/names/1016549","[first name unknown] Weber"
"http://data.carnegiehall.org/names/1016550","[first name unknown] Suchony"
"http://data.carnegiehall.org/names/1016538","Manuel Velez"
"http://data.carnegiehall.org/names/1016539","Nhick Ramiro Pacis"
"http://data.carnegiehall.org/names/1016540","Mari Esabel Valverde"
"http://data.carnegiehall.org/names/1016541","Victor McCoy"
"http://data.carnegiehall.org/names/1016542","Natasha Bedingfield"
"http://data.carnegiehall.org/names/1016543","Jody Nagel"
"http://data.carnegiehall.org/names/1016530","Andrew Bleckner"
"http://data.carnegiehall.org/names/1016531","James Syler"
"http://data.carnegiehall.org/names/1016532","Vladimir Martynov"
"http://data.carnegiehall.org/names/1016533","Nicole Lizée"
"http://data.carnegiehall.org/names/1016537","Leon Ignacio"
"http://data.carnegiehall.org/names/1016522","Justin Freer"
"http://data.carnegiehall.org/names/1016524","Eliza Gilkyson"
"http://data.carnegiehall.org/names/1016526","Jay Kuo"
"http://data.carnegiehall.org/names/1016527","Blair Shepard"
"http://data.carnegiehall.org/names/1016528","Pande Shahov"
"http://data.carnegiehall.org/names/1016529","G. Bradley Bodine"
"http://data.carnegiehall.org/names/1016516","Anthony Barfield"
"http://data.carnegiehall.org/names/1016517","Vince Oliver"
"http://data.carnegiehall.org/names/1016518","Tim Waters"
"http://data.carnegiehall.org/names/1016521","Gary D. Ziek"
"http://data.carnegiehall.org/names/1016511","Johann Bach"
"http://data.carnegiehall.org/names/1016501","William White"
"http://data.carnegiehall.org/names/1016502","Thomas Lupo"
"http://data.carnegiehall.org/names/1016503","Maurice Delage"
"http://data.carnegiehall.org/names/1016504","Ethan Sperry"
"http://data.carnegiehall.org/names/1016508","James Eakin III"
"http://data.carnegiehall.org/names/1016509","Ken Welch"
"http://data.carnegiehall.org/names/1016495","Anthony Constantino"
"http://data.carnegiehall.org/names/1016496","David del Puerto"
"http://data.carnegiehall.org/names/1016497","Jesús Torres"
"http://data.carnegiehall.org/names/1016498","Alberto Carretero"
"http://data.carnegiehall.org/names/1016499","José Minguillón"
"http://data.carnegiehall.org/names/1016500","Mario Carro"
"http://data.carnegiehall.org/names/1016488","Theodor Herrmann"
"http://data.carnegiehall.org/names/1016489","Franz Neruda"
"http://data.carnegiehall.org/names/1016490","Charles Kisco"
"http://data.carnegiehall.org/names/1016491","Tobias Brostrom"
"http://data.carnegiehall.org/names/1016493","Gabriel Smallwood"
"http://data.carnegiehall.org/names/1016494","Thomas Reeves"
"http://data.carnegiehall.org/names/1016480","Bruce Chase"
"http://data.carnegiehall.org/names/1016481","Siegfried Merath"
"http://data.carnegiehall.org/names/1016482","Benoit Hollander"
"http://data.carnegiehall.org/names/1016483","Doni Zokirov"
