"composer","composerLabel"
"http://data.carnegiehall.org/names/1006060","J. F. Cardoso"
"http://data.carnegiehall.org/names/1006061","Paulinho Nogueira"
"http://data.carnegiehall.org/names/1006062","Goffredo Petrassi"
"http://data.carnegiehall.org/names/1006063","Joon-Il Kang"
"http://data.carnegiehall.org/names/1006049","Lawrence Morton"
"http://data.carnegiehall.org/names/1006050","Ángel Rubio"
"http://data.carnegiehall.org/names/1006052","Emiel Hullebroeck"
"http://data.carnegiehall.org/names/1006053","Roger Jahnke"
"http://data.carnegiehall.org/names/1006054","Catharina van Rennes"
"http://data.carnegiehall.org/names/1006055","[first name unknown] Fisk"
"http://data.carnegiehall.org/names/1006042","John Sichel"
"http://data.carnegiehall.org/names/1006043","[first name unknown] Herreshoff"
"http://data.carnegiehall.org/names/1006044","Carl Michael Ziehrer"
"http://data.carnegiehall.org/names/1006045","Hugo Distler"
"http://data.carnegiehall.org/names/1006046","Anton y Michelena"
"http://data.carnegiehall.org/names/1006047","Bunita Marcus"
"http://data.carnegiehall.org/names/1006036","Charlie Davis"
"http://data.carnegiehall.org/names/1006037","László Lajtha"
"http://data.carnegiehall.org/names/1006038","Loyda Camacho"
"http://data.carnegiehall.org/names/1006039","Romualds Kalsons"
"http://data.carnegiehall.org/names/1006040","Arturo Márquez"
"http://data.carnegiehall.org/names/1006041","Issachar Meron"
"http://data.carnegiehall.org/names/1006026","Hans Krása"
"http://data.carnegiehall.org/names/1006028","Rudolf Escher"
"http://data.carnegiehall.org/names/1006029","Luis Cluzeau-Mortet"
"http://data.carnegiehall.org/names/1006030","Robert Brydges Addison"
"http://data.carnegiehall.org/names/1006033","Henry VIII, King of England"
"http://data.carnegiehall.org/names/1006034","Robert Fuchs"
"http://data.carnegiehall.org/names/1006018","Stanley M. Hoffman"
"http://data.carnegiehall.org/names/1006019","Otto Floersheim"
"http://data.carnegiehall.org/names/1006020","Alfonso E. Tenreiro"
"http://data.carnegiehall.org/names/1006021","Axel Jørgensen"
"http://data.carnegiehall.org/names/1006022","G. Reyne"
"http://data.carnegiehall.org/names/1006023","Vasily Ivanovich Agapkin"
"http://data.carnegiehall.org/names/1006008","Edward Morris"
"http://data.carnegiehall.org/names/1006009","Sydney Thomson"
"http://data.carnegiehall.org/names/1006010","Thomas Janson"
"http://data.carnegiehall.org/names/1006012","William Zucker"
"http://data.carnegiehall.org/names/1006016","Haroldo Lobo"
"http://data.carnegiehall.org/names/1006017","Joan B. Lambert"
"http://data.carnegiehall.org/names/1006002","Emanuel Adriaensen"
"http://data.carnegiehall.org/names/1006003","Primous Fountain"
"http://data.carnegiehall.org/names/1006004","Garrett Colyn"
"http://data.carnegiehall.org/names/1006005","Louis-Toussaint Milandre"
"http://data.carnegiehall.org/names/1006006","Antonio Nicolau"
"http://data.carnegiehall.org/names/1006007","[first name unknown] Mundy"
"http://data.carnegiehall.org/names/1005993","Abraham Moshe Bernstein"
"http://data.carnegiehall.org/names/1005997","Gabriel Ruiz"
"http://data.carnegiehall.org/names/1005998","Nickitas Demos"
"http://data.carnegiehall.org/names/1005999","Joyce Shatz Pease"
"http://data.carnegiehall.org/names/1006000","Al Sherman"
"http://data.carnegiehall.org/names/1006001","Hermann Assmann"
"http://data.carnegiehall.org/names/1005987","Augusta E. Stetson"
"http://data.carnegiehall.org/names/1005988","Alban Foerster"
"http://data.carnegiehall.org/names/1005989","Willis Charkovsky"
"http://data.carnegiehall.org/names/1005990","Johann Mattheson"
"http://data.carnegiehall.org/names/1005991","Paul von Klenau"
"http://data.carnegiehall.org/names/1005992","Ingram Fox"
"http://data.carnegiehall.org/names/1005980","Yoon-Il Auh"
"http://data.carnegiehall.org/names/1005981","Yuri Levitin"
"http://data.carnegiehall.org/names/1005982","Oscar J. Fox"
"http://data.carnegiehall.org/names/1005983","William Henry Hadow"
"http://data.carnegiehall.org/names/1005984","Ludvig Schytte"
"http://data.carnegiehall.org/names/1005986","H. Wakefield Smith"
"http://data.carnegiehall.org/names/1005973","Isidore De Lara"
"http://data.carnegiehall.org/names/1005974","Abe Holzmann"
"http://data.carnegiehall.org/names/1005976","Sparre Olsen"
"http://data.carnegiehall.org/names/1005977","Jeffrey Sharkey"
"http://data.carnegiehall.org/names/1005978","Mieczyslaw Karlowicz"
"http://data.carnegiehall.org/names/1005979","Carl Anton Wirth"
"http://data.carnegiehall.org/names/1005967","Bruce Broughton"
"http://data.carnegiehall.org/names/1005968","Camil Van Hulse"
"http://data.carnegiehall.org/names/1005969","Francisco Fuster"
"http://data.carnegiehall.org/names/1005970","Peter Schat"
"http://data.carnegiehall.org/names/1005971","Zu-Long Lu"
"http://data.carnegiehall.org/names/1005972","[first name unknown] Fischer"
"http://data.carnegiehall.org/names/1005958","Come Raggio Di Sol"
"http://data.carnegiehall.org/names/1005959","Hugo Kaun"
"http://data.carnegiehall.org/names/1005960","Anna Nikolayevna Esipova"
"http://data.carnegiehall.org/names/1005961","Antonio Estévez"
"http://data.carnegiehall.org/names/1005962","Hermann Loehr"
"http://data.carnegiehall.org/names/1005966","Danny Elfman"
"http://data.carnegiehall.org/names/1005948","Loris Margaritis"
"http://data.carnegiehall.org/names/1005949","Oleksandr Ivanovych Bilash"
"http://data.carnegiehall.org/names/1005952","Maurice Wright"
"http://data.carnegiehall.org/names/1005953","Luis Rivera"
"http://data.carnegiehall.org/names/1005954","Alexander Savine"
"http://data.carnegiehall.org/names/1005955","Annabel Buchanan"
"http://data.carnegiehall.org/names/1005938","[first name unknown] Bohm"
"http://data.carnegiehall.org/names/1005940","Salvador Ruiz de Luna"
"http://data.carnegiehall.org/names/1005941","Masahiro Yamauchi"
"http://data.carnegiehall.org/names/1005942","Robert Kelley"
"http://data.carnegiehall.org/names/1005944","Jon Appleton"
"http://data.carnegiehall.org/names/1005928","Henry Jacobsen"
"http://data.carnegiehall.org/names/1005929","Dimitar Nenov"
"http://data.carnegiehall.org/names/1005931","Anton Emil Titl"
"http://data.carnegiehall.org/names/1005935","Philip Wharton"
"http://data.carnegiehall.org/names/1005936","Ron Harris"
"http://data.carnegiehall.org/names/1005937","Minxiu Han"
"http://data.carnegiehall.org/names/1005920","Edmund Kretschmer"
"http://data.carnegiehall.org/names/1005923","Pierre Max Dubois"
"http://data.carnegiehall.org/names/1005924","Maria Malibran"
"http://data.carnegiehall.org/names/1005925","Margaret Garwood"
"http://data.carnegiehall.org/names/1005926","Gaspare Spontini"
"http://data.carnegiehall.org/names/1005927","Giampaolo Bracali"
"http://data.carnegiehall.org/names/1005912","Hans Sitt"
"http://data.carnegiehall.org/names/1005913","Ugalberto de Angelis"
"http://data.carnegiehall.org/names/1005915","Georg Liebling"
"http://data.carnegiehall.org/names/1005917","Michael Braz"
"http://data.carnegiehall.org/names/1005918","Rodolphe Kreutzer"
"http://data.carnegiehall.org/names/1005919","Walter Niemann"
"http://data.carnegiehall.org/names/1005902","Franz Anton Hoffmeister"
