"work","title"
"http://data.carnegiehall.org/works/11364","Piano Sonata No. 3 in C Major, Op. 2, No. 3"
"http://data.carnegiehall.org/works/22278","There's nae luck aboot the hoose (Scottish)"
"http://data.carnegiehall.org/works/37510","Farruca"
"http://data.carnegiehall.org/works/37471","Stepping Stones: Selection"
"http://data.carnegiehall.org/works/40848","Sonata for Violin and Piano No. 1, Op. 3"
"http://data.carnegiehall.org/works/57181","Clarinet Quintet"
"http://data.carnegiehall.org/works/57121","Chamber Concerto for Cello and Ten Instruments"
"http://data.carnegiehall.org/works/85765","Mari To Tonosama (The Red Orange and the Emperor)"
"http://data.carnegiehall.org/works/92858","I'm gonna tell God how you treat me"
"http://data.carnegiehall.org/works/105037","Blossom Time: Song of Love"
"http://data.carnegiehall.org/works/930","Esena pou s'agapisa (""You whom I loved"")"
"http://data.carnegiehall.org/works/82546","Canonic Sonata No. 1 in G Major TWV 40:118"
"http://data.carnegiehall.org/works/91019","El Alegre (Mexico - Veracruz)"
"http://data.carnegiehall.org/works/100614","Shalakho"
"http://data.carnegiehall.org/works/104841","Wa Habibi (Lebanon)"
"http://data.carnegiehall.org/works/108960","3 Songs to Texts of Walt Whitman"
"http://data.carnegiehall.org/works/115523","Pajdushka"
"http://data.carnegiehall.org/works/8583","A Ceremony of Carols, Op. 28: Deo gracias"
"http://data.carnegiehall.org/works/10460","Bardo Sonata, Op. 192"
"http://data.carnegiehall.org/works/12068","The Tempest, Op. 1"
"http://data.carnegiehall.org/works/16427","Grand Solo, Op. 14"
"http://data.carnegiehall.org/works/24377","Where be going? (Cornish)"
"http://data.carnegiehall.org/works/30995","Étude in F Major, Op. 25, No. 3"
"http://data.carnegiehall.org/works/104820","Blue Skies"
"http://data.carnegiehall.org/works/49836","Honor, Honor!"
"http://data.carnegiehall.org/works/69304","Trio for Piano, Flute, and Cello in G Major, H.XV:15: 3. Finale: Allegro moderato"
"http://data.carnegiehall.org/works/90305","Sonata a Violino Solo"
"http://data.carnegiehall.org/works/92114","Inca Blood"
"http://data.carnegiehall.org/works/95976","Goyescas: Intermezzo"
"http://data.carnegiehall.org/works/97254","Valse de l'opera Faust, S. 407 (R. 166)"
"http://data.carnegiehall.org/works/14385","Ora triste"
"http://data.carnegiehall.org/works/16322","Weepe O mine eyes"
"http://data.carnegiehall.org/works/25962","Siberia"
"http://data.carnegiehall.org/works/31334","Nocturne in A-flat Major, Op. 32, No. 2"
"http://data.carnegiehall.org/works/46823","Song in Winter"
"http://data.carnegiehall.org/works/48487","Di Vant"
"http://data.carnegiehall.org/works/95373","Hunger"
"http://data.carnegiehall.org/works/97382","Soldiers of Christ, Arise"
"http://data.carnegiehall.org/works/98652","Leil"
"http://data.carnegiehall.org/works/99759","Souvenirs, Op. 28: 5. Hesitation Tango"
