"work","title"
"http://data.carnegiehall.org/works/89790","Concerto for Oboe, Bassoon, and Continuo in G Major, RV 545: Overture"
"http://data.carnegiehall.org/works/115670","Singapura"
"http://data.carnegiehall.org/works/14524","Three Preludes: 3. Le jeu des contraires"
"http://data.carnegiehall.org/works/15116","5 Canciónes negras: 4. Canción de cuña para dormir a un negrito"
"http://data.carnegiehall.org/works/18650","Lo'ihi: Birth of an Island"
"http://data.carnegiehall.org/works/22085","5 Miniatures"
"http://data.carnegiehall.org/works/29046","Divertimento"
"http://data.carnegiehall.org/works/75822","A Cossack Beyond the Danube: Act I. Duet of Odarka and Karash"
"http://data.carnegiehall.org/works/76637","Co-existence"
"http://data.carnegiehall.org/works/95726","R.I.P.T."
"http://data.carnegiehall.org/works/9417","Invention in E Major, BWV 777"
"http://data.carnegiehall.org/works/13566","On The Way Home From School"
"http://data.carnegiehall.org/works/17494","Daughters of Texas"
"http://data.carnegiehall.org/works/95707","Heroic Adventure"
"http://data.carnegiehall.org/works/13789","Sonata for Four Flutes, Op. 34, No. 3"
"http://data.carnegiehall.org/works/27360","Sérénade"
"http://data.carnegiehall.org/works/29845","Softly and Tenderly, Jesus is Calling"
"http://data.carnegiehall.org/works/42349","The Marriage of Figaro, K. 492: Act III. Vedrò mentr'io sospiro"
"http://data.carnegiehall.org/works/72651","Acht Lieder, Op. 18"
"http://data.carnegiehall.org/works/104878","Romance for Violin and Orchestra in G Major, Op. 40"
"http://data.carnegiehall.org/works/3697","Giulietta e Romeo: Giulietta!  Son io"
"http://data.carnegiehall.org/works/53202","Les anges pleurent"
"http://data.carnegiehall.org/works/56980","Romeo and Juliet, Op. 64: 3 Pieces"
"http://data.carnegiehall.org/works/60056","Sonata"
"http://data.carnegiehall.org/works/60552","Histoire du Tango: Night-Club 1960"
"http://data.carnegiehall.org/works/68937","Holy is He"
"http://data.carnegiehall.org/works/63690","My Peggy"
"http://data.carnegiehall.org/works/102497","Partita for Band: 4. Rondo"
"http://data.carnegiehall.org/works/22134","Songs of Travel: 2. Let Beauty Awake"
"http://data.carnegiehall.org/works/39186","Elegia India"
"http://data.carnegiehall.org/works/64442","Sinfonia in D min."
"http://data.carnegiehall.org/works/82352","Sakura Dreamia"
"http://data.carnegiehall.org/works/92856","No More"
"http://data.carnegiehall.org/works/6926","Symphony for Six"
"http://data.carnegiehall.org/works/35422","Idyll and Serenade"
"http://data.carnegiehall.org/works/58252","Intermezzi goldoniani, Op. 127: Preludio"
"http://data.carnegiehall.org/works/70839","The Lord is my Light"
"http://data.carnegiehall.org/works/78151","Angel's Dream"
"http://data.carnegiehall.org/works/98899","(Sweet Sweet Baby) Since You've Been Gone"
"http://data.carnegiehall.org/works/99367","Polonaise, Op. 2, No. 1"
"http://data.carnegiehall.org/works/48555","Giancarlo Cardini"
"http://data.carnegiehall.org/works/56621","Sonatina, Op. 28"
"http://data.carnegiehall.org/works/81153","Tell Me More"
