"work","title"
"http://data.carnegiehall.org/works/9948","Half and Half"
"http://data.carnegiehall.org/works/36823","Trio for Flute, Violin, and Piano"
"http://data.carnegiehall.org/works/65465","Mists"
"http://data.carnegiehall.org/works/82659","Sonata in E-flat Major, Op. 120, No. 2: 2. Allegro appassionato"
"http://data.carnegiehall.org/works/81917","Senza fine"
"http://data.carnegiehall.org/works/102551","Spring Song"
"http://data.carnegiehall.org/works/115893","5 Canciones tradicionales espanolas: 1. Tres morillas me enamoran en Jaén"
"http://data.carnegiehall.org/works/26283","Piano Concerto in G Major, Op. 36"
"http://data.carnegiehall.org/works/71950","5 Romances on Texts from Krokodil Magazine, Op. 121: 4. Irinka and the Shepherd"
"http://data.carnegiehall.org/works/77927","Show Boat: Fish got to swim"
"http://data.carnegiehall.org/works/82634","Timon of Athens, Z. 632: But ah! How much are our delights"
"http://data.carnegiehall.org/works/86623","Praise the Lord for Great is His Steadfast Love Towards Us (Chant of the Simonopetra Monastery)"
"http://data.carnegiehall.org/works/99982","Fiançailles pour rire: 4. Mon cadavre est doux comme un gant"
"http://data.carnegiehall.org/works/3689","Sonata for Cello and Piano"
"http://data.carnegiehall.org/works/11239","Waltzes, Op. 39"
"http://data.carnegiehall.org/works/15961","Forty-four Duos, BB 104: Unknown selection"
"http://data.carnegiehall.org/works/53018","Dejadme llorar"
"http://data.carnegiehall.org/works/62479","If love should count you worthy"
"http://data.carnegiehall.org/works/70000","Manchester Gamba Book: Kate of Bardie — A Toye"
"http://data.carnegiehall.org/works/88037","Iolanthe: Selection (unspecified)"
"http://data.carnegiehall.org/works/45495","Königskinder: Selections"
"http://data.carnegiehall.org/works/66764","La forza del destino: Rataplan, rataplan della gloria"
"http://data.carnegiehall.org/works/75849","Etude de concert, Op. 27"
"http://data.carnegiehall.org/works/114014","Darlin' Cory (American)"
"http://data.carnegiehall.org/works/17997","Sussex Celebration"
"http://data.carnegiehall.org/works/43556","Ritka Buza (Hungarian)"
"http://data.carnegiehall.org/works/64105","La finta scema: Se spiegar potessi appieno"
"http://data.carnegiehall.org/works/97109","Love's Sorrow"
"http://data.carnegiehall.org/works/98208","El Pastor"
"http://data.carnegiehall.org/works/110951","Song (unspecified)"
"http://data.carnegiehall.org/works/4364","Old American Songs, Set 2: Ching-a-ring-chaw"
"http://data.carnegiehall.org/works/17033","On dit!"
"http://data.carnegiehall.org/works/26063","Menuet"
"http://data.carnegiehall.org/works/35920","Mamé Mousé (Kurdish)"
"http://data.carnegiehall.org/works/41292","Carnaval, Op. 9: 13. Estrella"
"http://data.carnegiehall.org/works/49545","The Firebrand of Florence: Sing me not a ballad"
"http://data.carnegiehall.org/works/82101","Moody's Groove"
"http://data.carnegiehall.org/works/109611","Does Anybody Really Know What Time It Is?"
"http://data.carnegiehall.org/works/13862","Sobbing Angels"
"http://data.carnegiehall.org/works/14689","Hungarian Fantasy"
"http://data.carnegiehall.org/works/19878","Piano Sonata in C Major, D. 840, ""Reliquie"""
"http://data.carnegiehall.org/works/27449","10 Preludes, Op. 23: Prelude (unspecified)"
"http://data.carnegiehall.org/works/91060","Across the Vast Eternal Sky"
"http://data.carnegiehall.org/works/105383","Maré"
"http://data.carnegiehall.org/works/116261","Se'i Yonah (Fly, oh pigeon)"
"http://data.carnegiehall.org/works/46837","Kings House One"
"http://data.carnegiehall.org/works/54218","El sombrero de tres picos: Danza final (Jota)"
"http://data.carnegiehall.org/works/65660","Sonata No. 5 in F-sharp Minor"
"http://data.carnegiehall.org/works/28103","Mulan: Suite"
"http://data.carnegiehall.org/works/38217","Symphony No. 2: 5. Allegro molto vivace"
"http://data.carnegiehall.org/works/40572","Chant of 1942, Op. 33"
"http://data.carnegiehall.org/works/42244","Overture to Tannhäuser, S. 442"
"http://data.carnegiehall.org/works/107991","Rock Ethic"
"http://data.carnegiehall.org/works/115077","Ballad for a Summer's Day"
"http://data.carnegiehall.org/works/35097","Die Forelle, D. 550"
"http://data.carnegiehall.org/works/41525","Esther: Hallelujah"
"http://data.carnegiehall.org/works/54333","13 Preludes, Op. 32: 4. Prelude in E Minor. Allegro con brio"
"http://data.carnegiehall.org/works/55438","Concerto for 2 Mandolins in G Major, RV 532: 1. Allegro"
"http://data.carnegiehall.org/works/53843","Country Pictures: Chimney Swallows, Op. 9, No. 2"
"http://data.carnegiehall.org/works/57035","The Sinfonians"
"http://data.carnegiehall.org/works/58268","Piano Trio No. 1 in B-flat Major, Op. 21"
"http://data.carnegiehall.org/works/74175","I Just Want to Sing and Dance Like Fred Astaire"
"http://data.carnegiehall.org/works/87011","9 Mélodies retrouvées: 2. La vie est belle"
"http://data.carnegiehall.org/works/86779","It's Time for Christmas"
"http://data.carnegiehall.org/works/15345","Book for Three"
"http://data.carnegiehall.org/works/39608","Dia De Alhad"
"http://data.carnegiehall.org/works/45845","Six Dumbshows"
"http://data.carnegiehall.org/works/59718","You Must Believe in Spring"
"http://data.carnegiehall.org/works/21536","Piano Trio"
"http://data.carnegiehall.org/works/27059","Mignon: Overture"
"http://data.carnegiehall.org/works/62137","Sensommarnatter, Op. 33: 4. Presto agitato"
"http://data.carnegiehall.org/works/80182","Drinking Song (Russian)"
"http://data.carnegiehall.org/works/100652","Seeing Nellie Home"
"http://data.carnegiehall.org/works/16855","Violin Concerto"
"http://data.carnegiehall.org/works/38435","Valley Forge"
"http://data.carnegiehall.org/works/40660","Siegfried: Siegfried presses through the flames"
"http://data.carnegiehall.org/works/43168","Chaconne, Op. 32"
"http://data.carnegiehall.org/works/51930","Sono"
"http://data.carnegiehall.org/works/71674","Revelation: Night Vigil"
"http://data.carnegiehall.org/works/82479","Tonadas, Vol. 1: Charrada de Salamanca (Peasant dance from Salamanca)"
"http://data.carnegiehall.org/works/92037","Cantares"
"http://data.carnegiehall.org/works/113373","Selection for Guitar (unspecified)"
"http://data.carnegiehall.org/works/2766","Griffelkin: Griffelkin's Song"
"http://data.carnegiehall.org/works/21747","String Trio"
"http://data.carnegiehall.org/works/49400","Just caws"
"http://data.carnegiehall.org/works/70176","Practice"
"http://data.carnegiehall.org/works/23830","Violin Sonata in D Minor"
"http://data.carnegiehall.org/works/26107","Four Romances: Menestrel', Op. 17, No. 1 (""The Minstrel"")"
"http://data.carnegiehall.org/works/27846","The Tsar's Bride: Ivan Sergeich...vzglyani, von tam, nad golodnoi"
"http://data.carnegiehall.org/works/32448","L’arlésienne Suite No. 1: 3. Adagietto"
"http://data.carnegiehall.org/works/40295","Anew we lift our song"
"http://data.carnegiehall.org/works/50727","Festvorspiel-Prelude, R. 47"
"http://data.carnegiehall.org/works/30125","Music in the Air: I’ve Told Ev’ry Little Star"
"http://data.carnegiehall.org/works/38154","Tonada murciana"
"http://data.carnegiehall.org/works/82259","Selection"
"http://data.carnegiehall.org/works/104652","Heart on the Wall, Op. 14"
"http://data.carnegiehall.org/works/111952","Amazonia"
"http://data.carnegiehall.org/works/11241","Send One Your Love"
"http://data.carnegiehall.org/works/75017","Gavotte"
"http://data.carnegiehall.org/works/90003","Folk Song Arrangements, Vol. 2, France: 3. Fileuse"
"http://data.carnegiehall.org/works/111968","The Entertainer"
"http://data.carnegiehall.org/works/113667","2 Arias (unspecified)"
"http://data.carnegiehall.org/works/26831","Sister Mary had-a but one child"
"http://data.carnegiehall.org/works/32657","7 Lieder, Op. 48: 1. Der Gang zum Liebchen"
