"work","title"
"http://data.carnegiehall.org/works/112817","Otello: Act IV"
"http://data.carnegiehall.org/works/12078","Etudes-tableaux, Op. 33"
"http://data.carnegiehall.org/works/22166","Mayn Yingele"
"http://data.carnegiehall.org/works/83627","THe Lady's in Love with You"
"http://data.carnegiehall.org/works/96551","Songs That Won the War"
"http://data.carnegiehall.org/works/109431","The Swing"
"http://data.carnegiehall.org/works/33663","Sarabande in D Minor"
"http://data.carnegiehall.org/works/66442","Intermezzo Scherzoso"
"http://data.carnegiehall.org/works/79214","Parsifal: Mein Vater!"
"http://data.carnegiehall.org/works/99594","The Worst That Could Happen"
"http://data.carnegiehall.org/works/113184","Semente da Maré"
"http://data.carnegiehall.org/works/114082","Herz und Mund und Tat und Leben, BWV 147: Jesu, Joy of Man's Desiring"
"http://data.carnegiehall.org/works/17744","Suite from La revue de cuisine"
"http://data.carnegiehall.org/works/30251","If It Isn't Pain, It Isn't Love"
"http://data.carnegiehall.org/works/32714","Hungarian March, R. 438"
"http://data.carnegiehall.org/works/33409","La Dolores: Jota"
"http://data.carnegiehall.org/works/56947","Einen Sommer Lang"
"http://data.carnegiehall.org/works/59234","Piano Concerto No. 21 in C Major, K. 467: Excerpt"
"http://data.carnegiehall.org/works/70713","Dance of Fire"
"http://data.carnegiehall.org/works/80773","Kuveni"
"http://data.carnegiehall.org/works/108688","Now More Than Ever"
"http://data.carnegiehall.org/works/3430","The Money Song"
"http://data.carnegiehall.org/works/6499","Cantique"
"http://data.carnegiehall.org/works/13409","The special picnic"
"http://data.carnegiehall.org/works/53600","Concerto for Two Violins and Cello in G Minor, RV 578"
"http://data.carnegiehall.org/works/55716","In the Rays of the Sun, Op. 17"
"http://data.carnegiehall.org/works/94310","Constant Penelope"
"http://data.carnegiehall.org/works/4690","Gramachree, H.XXXIa:13"
"http://data.carnegiehall.org/works/13067","Messiah, HWV 56: Rejoice greatly, o daughter of Zion"
"http://data.carnegiehall.org/works/65376","Are You Ready For The Country?"
"http://data.carnegiehall.org/works/109157","The Lady is a Tramp"
"http://data.carnegiehall.org/works/111048","Ñáñigo"
"http://data.carnegiehall.org/works/34660","Sechs Stücke: Verbundenheit, Op. 35, No. 6"
"http://data.carnegiehall.org/works/55097","Mazurka in B-flat Minor"
"http://data.carnegiehall.org/works/69614","Contredanse in D Major, K. 534 (""Das Donnerwetter"")"
"http://data.carnegiehall.org/works/59472","Rorate Coeli"
"http://data.carnegiehall.org/works/80503","Never Turn Back"
"http://data.carnegiehall.org/works/5374","Piece for Solo Oboe"
"http://data.carnegiehall.org/works/24265","Missa L'homme arme, Op. 50: Agnus Dei"
"http://data.carnegiehall.org/works/36726","Bar Hopping"
"http://data.carnegiehall.org/works/43421","Cindy (American)"
"http://data.carnegiehall.org/works/48939","Petite Suite"
"http://data.carnegiehall.org/works/106086","American Landscape"
"http://data.carnegiehall.org/works/8505","My dark Rosaleen"
"http://data.carnegiehall.org/works/11290","Six Romances, Op. 27: 1. Pesn' rïbki (Song of the Fish)"
"http://data.carnegiehall.org/works/19494","Vieg Lied"
"http://data.carnegiehall.org/works/26214","Wsrod Nocnej Ciszy (Polish Carol)"
"http://data.carnegiehall.org/works/48011","When Myra sings, Z. 521"
"http://data.carnegiehall.org/works/70247","Vertigo: Suite"
"http://data.carnegiehall.org/works/71408","Humoresque in G-flat Major, Op. 101, No. 7"
"http://data.carnegiehall.org/works/87240","Once I Loved"
"http://data.carnegiehall.org/works/104237","Carousel: Hornpipe"
"http://data.carnegiehall.org/works/105336","Schweigt stille, plaudert nicht, BWV 211: 2. Aria: Hat man nicht mit seinen Kindern"
"http://data.carnegiehall.org/works/16077","Selection"
"http://data.carnegiehall.org/works/81837","Rigadoons"
"http://data.carnegiehall.org/works/92836","Flight Song"
"http://data.carnegiehall.org/works/92209","Deep River / Shall We Gather"
"http://data.carnegiehall.org/works/99738","Satchmo!"
"http://data.carnegiehall.org/works/60640","42nd Street: You're Getting To Be a Habit With Me"
"http://data.carnegiehall.org/works/61296","Six chansons du XVe siècle: Au jardin de mon père"
"http://data.carnegiehall.org/works/84322","Piano Concerto"
"http://data.carnegiehall.org/works/95835","Winter Wonderland"
"http://data.carnegiehall.org/works/94801","Pray, Brethren, Pray"
"http://data.carnegiehall.org/works/95668","The Baker's Wife: Meadowlark"
"http://data.carnegiehall.org/works/111647","Concerto Grosso in D Minor: Allegro"
"http://data.carnegiehall.org/works/15710","Egmont, Op. 84: 4. Freudvoll und leidvoll"
"http://data.carnegiehall.org/works/50908","Impromptu in F Minor, D. 935, No. 4"
"http://data.carnegiehall.org/works/67059","The Other Garden"
"http://data.carnegiehall.org/works/72874","Tapu'at"
"http://data.carnegiehall.org/works/30040","Sept chansons de Clément Marot, Op. 15: 3. Aux damoyselles paresseuses d'escrire a leurs amys"
"http://data.carnegiehall.org/works/53599","Raymond: Selection"
"http://data.carnegiehall.org/works/73455","Guajira Criolla"
"http://data.carnegiehall.org/works/114135","Valsette"
"http://data.carnegiehall.org/works/114976","Everybody Sing"
"http://data.carnegiehall.org/works/16663","What Shall We Do with a Drunken Sailor? (Sea Chanty)"
"http://data.carnegiehall.org/works/49598","Bagatelle ohne Tonart (Bagatelle sans tonalité), R. 60c"
"http://data.carnegiehall.org/works/72784","Recuerdo"
"http://data.carnegiehall.org/works/74748","Blue Pigeon"
"http://data.carnegiehall.org/works/76043","So Free Am I: 2. Orinada Upon Little Hector Philips"
"http://data.carnegiehall.org/works/93545","From a bygone day (German)"
"http://data.carnegiehall.org/works/96498","Voodoo Violin Concerto No. 1: 3. Tribe"
"http://data.carnegiehall.org/works/112428","Songs (unspecified)"
"http://data.carnegiehall.org/works/47286","Impromptu, Op. 86"
"http://data.carnegiehall.org/works/60460","Nocturnes for Voice and Piano"
"http://data.carnegiehall.org/works/67721","Suite nativa"
"http://data.carnegiehall.org/works/72867","Crucifixus"
"http://data.carnegiehall.org/works/76394","Camp Meeting Band"
"http://data.carnegiehall.org/works/83720","Elegiske digte, Op. 59: 2. På Norges nøgne fjelde"
"http://data.carnegiehall.org/works/100446","Umbrellas"
"http://data.carnegiehall.org/works/105188","Unknown quartet"
"http://data.carnegiehall.org/works/108977","Like as the Culver on the Bared Bough"
"http://data.carnegiehall.org/works/47087","Festliches Präludium, Op. 61"
"http://data.carnegiehall.org/works/69757","Heavy Light"
"http://data.carnegiehall.org/works/1132","Quiete meridiana nell' Alpe (""Noon-quiet in the Alps"")"
"http://data.carnegiehall.org/works/18065","Coriolan Overture, Op. 62"
"http://data.carnegiehall.org/works/38599","Tanto sospirerò"
"http://data.carnegiehall.org/works/56809","Trois poèmes de Stéphane Mallarmé"
