"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/18219","1950-05-16T20:30:00","Benefit: Yeshiva University","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/16646","1950-11-13T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/11292","1950-02-01T20:30:00","Aurelio Di Dio, Violin","http://data.carnegiehall.org/works/65915","http://data.carnegiehall.org/names/1002038","Gabriel Pierné","http://www.wikidata.org/entity/Q433749"
"http://data.carnegiehall.org/events/25825","1949-02-20T17:30:00","Shirley Trepel, Cello","http://data.carnegiehall.org/works/5072","http://data.carnegiehall.org/names/28928","Paul Hindemith","http://www.wikidata.org/entity/Q57244"
"http://data.carnegiehall.org/events/18570","1949-01-02T17:30:00","Norman Atkins, Baritone","http://data.carnegiehall.org/works/26811","http://data.carnegiehall.org/names/1005280","Joel Engel","http://www.wikidata.org/entity/Q2910129"
"http://data.carnegiehall.org/events/25612","1950-10-23T20:30:00","Eileen Farrell, Soprano","http://data.carnegiehall.org/works/51427","http://data.carnegiehall.org/names/1005414","Olivier Messiaen","http://www.wikidata.org/entity/Q151593"
"http://data.carnegiehall.org/events/16150","1950-05-10T20:30:00","Carnegie Pops","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/2919","1950-05-12T20:30:00","Carnegie Pops","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/11814","1949-03-06T20:40:00","Vienna Choir Boys","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/42312","1950-10-22T14:30:00","Marie Layne, Soprano","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/43241","1950-09-18T21:00:00","Bell Telephone Hour","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/22125","1949-11-19T17:30:00","Yi-Kwei Sze, Bass-Baritone","http://data.carnegiehall.org/works/55310","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
