"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/39562","1941-11-09T15:30:00","Doris Trotman, Soprano","http://data.carnegiehall.org/works/63056","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/43692","1943-11-26T20:30:00","New York Little Symphony","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/36623","1942-05-07T20:45:00","High School of Music and Art Symphony Orchestra and Choral Society","http://data.carnegiehall.org/works/56969","http://data.carnegiehall.org/names/23462","Morton Gould","http://www.wikidata.org/entity/Q1352656"
"http://data.carnegiehall.org/events/17934","1941-11-16T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/10715","1944-03-11T20:30:00","New York Schools of Music Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/7682","1942-03-28T15:00:00","National Orchestral Association","http://data.carnegiehall.org/works/52327","http://data.carnegiehall.org/names/38194","Paul Creston","http://www.wikidata.org/entity/Q922278"
"http://data.carnegiehall.org/events/10803","1941-03-28T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/36754","http://data.carnegiehall.org/names/10331","Nicolai Berezowsky","http://www.wikidata.org/entity/Q705759"
"http://data.carnegiehall.org/events/17820","1941-03-27T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/36754","http://data.carnegiehall.org/names/10331","Nicolai Berezowsky","http://www.wikidata.org/entity/Q705759"
"http://data.carnegiehall.org/events/9053","1943-11-28T20:30:00","Yehudi Menuhin, Violin","http://data.carnegiehall.org/works/41056","http://data.carnegiehall.org/names/1004956","Camargo Guarnieri","http://www.wikidata.org/entity/Q721439"
"http://data.carnegiehall.org/events/33201","1940-04-25T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/52718","http://data.carnegiehall.org/names/56288","Anis Fuleihan","http://www.wikidata.org/entity/Q4765281"
"http://data.carnegiehall.org/events/9757","1940-04-26T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/52718","http://data.carnegiehall.org/names/56288","Anis Fuleihan","http://www.wikidata.org/entity/Q4765281"
"http://data.carnegiehall.org/events/25222","1942-02-11T20:30:00","Vytautas Bacevicius, Piano","http://data.carnegiehall.org/works/59399","http://data.carnegiehall.org/names/28470","Vytautas Bacevicius","http://www.wikidata.org/entity/Q950243"
"http://data.carnegiehall.org/events/56578","1942-10-10T20:15:00","Salute to China: A Tribute to Our Courageous Allies, the Chinese","http://data.carnegiehall.org/works/94644","http://data.carnegiehall.org/names/1019621","Maoyun Cheng","http://www.wikidata.org/entity/Q709514"
"http://data.carnegiehall.org/events/56345","1943-03-03T15:00:00","Meeting: Chinese Benevolent Association, with Address by Mme. Chiang Kai-Shek","http://data.carnegiehall.org/works/94644","http://data.carnegiehall.org/names/1019621","Maoyun Cheng","http://www.wikidata.org/entity/Q709514"
"http://data.carnegiehall.org/events/20110","1944-11-10T20:30:00","Ray Lev, Piano","http://data.carnegiehall.org/works/21010","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/8387","1944-01-17T20:30:00","Alexander Uninsky, Piano","http://data.carnegiehall.org/works/21010","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/29314","1940-11-29T20:30:00","Sascha Gorodnitzki, Piano","http://data.carnegiehall.org/works/21010","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/35350","1941-01-15T20:30:00","Zadel Skolovsky, Piano","http://data.carnegiehall.org/works/21010","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
