"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/9362","1931-06-11T20:00:00","New York Music Week Association Awards Ceremony","http://data.carnegiehall.org/works/100122","http://data.carnegiehall.org/names/1000740","Edvard Grieg","http://www.wikidata.org/entity/Q80621"
"http://data.carnegiehall.org/events/9095","1933-04-18T20:30:00","John McCormack, Tenor, Lucrezia Bori, Soprano, and Henri Deering, Piano","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/26641","1933-12-06T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/37149","1933-12-08T20:30:00","Benefit: Georgia Warm Springs Foundation","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/7389","1930-02-23T15:00:00","Hans Barth, Harpsichord and Piano","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/512","1932-02-16T20:30:00","Gregor Piatigorsky, Cello","http://data.carnegiehall.org/works/87766","http://data.carnegiehall.org/names/1004864","Carl Maria von Weber","http://www.wikidata.org/entity/Q154812"
"http://data.carnegiehall.org/events/18359","1930-11-12T20:30:00","Roland Hayes, Tenor","http://data.carnegiehall.org/works/8127","http://data.carnegiehall.org/names/1002249","Franz Schubert","http://www.wikidata.org/entity/Q7312"
"http://data.carnegiehall.org/events/32076","1932-12-17T11:00:00","New York Philharmonic Young People's Concert","http://data.carnegiehall.org/works/45118","http://data.carnegiehall.org/names/1006691","Manuel de Falla","http://www.wikidata.org/entity/Q193283"
"http://data.carnegiehall.org/events/2456","1932-11-30T20:30:00","José Iturbi, Piano","http://data.carnegiehall.org/works/42448","http://data.carnegiehall.org/names/44712","Robert Russell Bennett","http://www.wikidata.org/entity/Q2054753"
"http://data.carnegiehall.org/events/15321","1931-03-21T20:45:00","New York Philharmonic Students' Concert","http://data.carnegiehall.org/works/24036","http://data.carnegiehall.org/names/10716","Antonín Dvorák","http://www.wikidata.org/entity/Q7298"
"http://data.carnegiehall.org/events/6389","1931-03-20T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/24036","http://data.carnegiehall.org/names/10716","Antonín Dvorák","http://www.wikidata.org/entity/Q7298"
