"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/21607","1937-12-11T14:30:00","Wagnerian Festival Singers","http://data.carnegiehall.org/works/40192","http://data.carnegiehall.org/names/1000277","Richard Wagner","http://www.wikidata.org/entity/Q1511"
"http://data.carnegiehall.org/events/29637","1936-11-30T20:30:00","Albert Spalding, Violin","http://data.carnegiehall.org/works/25507","http://data.carnegiehall.org/names/32756","Albert Spalding","http://www.wikidata.org/entity/Q2638863"
"http://data.carnegiehall.org/events/61394","1939-05-10T20:30:00","Composers' Forum-Laboratory","http://data.carnegiehall.org/works/103467","http://data.carnegiehall.org/names/1972","Lehman Engel","http://www.wikidata.org/entity/Q6518896"
"http://data.carnegiehall.org/events/29525","1937-10-26T20:30:00","Vienna Choir Boys and Joseph Schmidt","http://data.carnegiehall.org/works/36590","http://data.carnegiehall.org/names/1008384","Christoph Willibald Gluck","http://www.wikidata.org/entity/Q130759"
"http://data.carnegiehall.org/events/29637","1936-11-30T20:30:00","Albert Spalding, Violin","http://data.carnegiehall.org/works/25506","http://data.carnegiehall.org/names/32756","Albert Spalding","http://www.wikidata.org/entity/Q2638863"
"http://data.carnegiehall.org/events/13504","1936-10-14T20:45:00","Jascha Heifetz, Violin","http://data.carnegiehall.org/works/87833","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi","http://www.wikidata.org/entity/Q1340"
"http://data.carnegiehall.org/events/25138","1939-04-28T20:30:00","Dessoff Choirs","http://data.carnegiehall.org/works/5797","http://data.carnegiehall.org/names/1006137","Hans Leo Hassler","http://www.wikidata.org/entity/Q164882"
"http://data.carnegiehall.org/events/3513","1937-04-11T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/38783","http://data.carnegiehall.org/names/14334","Arthur Honegger","http://www.wikidata.org/entity/Q123164"
"http://data.carnegiehall.org/events/14182","1938-02-16T20:30:00","John Charles Thomas, Baritone","http://data.carnegiehall.org/works/17305","http://data.carnegiehall.org/names/1007689","Thomas Augustine Arne","http://www.wikidata.org/entity/Q309709"
"http://data.carnegiehall.org/events/55281","1935-03-04T20:30:00","Alfred Troemel","http://data.carnegiehall.org/works/30672","http://data.carnegiehall.org/names/1009412","Gabriel Fauré","http://www.wikidata.org/entity/Q104919"
"http://data.carnegiehall.org/events/2599","1939-11-26T15:00:00","Arthur LeBlanc, Violin","http://data.carnegiehall.org/works/30672","http://data.carnegiehall.org/names/1009412","Gabriel Fauré","http://www.wikidata.org/entity/Q104919"
"http://data.carnegiehall.org/events/18873","1937-01-08T20:45:00","Jascha Heifetz, Violin","http://data.carnegiehall.org/works/30672","http://data.carnegiehall.org/names/1009412","Gabriel Fauré","http://www.wikidata.org/entity/Q104919"
"http://data.carnegiehall.org/events/19301","1939-12-04T20:30:00","Yehudi Menuhin, Violin","http://data.carnegiehall.org/works/30672","http://data.carnegiehall.org/names/1009412","Gabriel Fauré","http://www.wikidata.org/entity/Q104919"
"http://data.carnegiehall.org/events/17546","1939-05-10T20:30:00","Down Town Glee Club","http://data.carnegiehall.org/works/20478","http://data.carnegiehall.org/names/1007203","Henri Duparc","http://www.wikidata.org/entity/Q364983"
"http://data.carnegiehall.org/events/2090","1939-02-06T20:30:00","Alexander Kelberine, Piano","http://data.carnegiehall.org/works/41264","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/35262","1939-10-07T20:45:00","ASCAP American Music Festival","http://data.carnegiehall.org/works/51679","http://data.carnegiehall.org/names/15835","Victor Herbert","http://www.wikidata.org/entity/Q1275145"
"http://data.carnegiehall.org/events/15470","1936-04-14T20:45:00","New York Women's Symphony Orchestra","http://data.carnegiehall.org/works/30998","http://data.carnegiehall.org/names/45673","Elinor Remick Warren","http://www.wikidata.org/entity/Q5361163"
"http://data.carnegiehall.org/events/19352","1935-01-12T20:45:00","New York Philharmonic Students' Concert","http://data.carnegiehall.org/works/13088","http://data.carnegiehall.org/names/65443","Daniel Gregory Mason","http://www.wikidata.org/entity/Q1160957"
"http://data.carnegiehall.org/events/2123","1937-04-02T20:30:00","Marian Anderson, Contralto","http://data.carnegiehall.org/works/36392","http://data.carnegiehall.org/names/1004863","César Franck","http://www.wikidata.org/entity/Q50187"
"http://data.carnegiehall.org/events/9293","1935-01-03T20:45:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/44195","http://data.carnegiehall.org/names/1005156","Karol Szymanowski","http://www.wikidata.org/entity/Q295400"
