"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/17727","1947-11-15T14:30:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/18342","1948-05-26T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/43937","1946-12-05T20:30:00","Janet Fairbank, Soprano","http://data.carnegiehall.org/works/51427","http://data.carnegiehall.org/names/1005414","Olivier Messiaen","http://www.wikidata.org/entity/Q151593"
"http://data.carnegiehall.org/events/32143","1947-06-13T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/1581","1947-05-22T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/9112","1946-06-02T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/36018","1946-08-14T21:00:00","Longines Symphonette","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/12155","1948-05-13T20:00:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/1025","1946-11-06T20:30:00","Boys Town Choir","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/13563","1946-12-09T15:30:00","Concert for High School Students","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/27768","1946-11-10T20:40:00","Marian Anderson, Contralto","http://data.carnegiehall.org/works/68617","http://data.carnegiehall.org/names/1000826","John Ireland","http://www.wikidata.org/entity/Q505910"
"http://data.carnegiehall.org/events/59190","1948-03-10T20:30:00","Recital by Elaine Castle, Mary Humphrey, Paula Mueller, Francis Bartley, Richard Stewart, Audre Kristopher, and Georgia Cristopherson","http://data.carnegiehall.org/works/27143","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
