"event","date","title","workperformed","composer","composerName","birthPlace","skos"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109664","http://data.carnegiehall.org/names/14100","Al Jardine","http://sws.geonames.org/5160783/","http://www.wikidata.org/entity/Q453314"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109664","http://data.carnegiehall.org/names/14100","Al Jardine","http://sws.geonames.org/5160783/","http://www.wikidata.org/entity/Q453314"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/86334","http://data.carnegiehall.org/names/1016874","Bugs Bower","http://sws.geonames.org/4500546/","http://www.wikidata.org/entity/Q63459664"
"http://data.carnegiehall.org/events/18896","1971-09-14T20:00:00","Savoy Brown, Blues Rock Band","http://data.carnegiehall.org/works/109655","http://data.carnegiehall.org/names/76003","Kim Simmonds","https://sws.geonames.org/2641700/","http://www.wikidata.org/entity/Q322303"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/86335","http://data.carnegiehall.org/names/1013213","Henri Salvador","http://sws.geonames.org/3382160/","http://www.wikidata.org/entity/Q318060"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/57369","http://data.carnegiehall.org/names/37239","Richard Rodgers","http://sws.geonames.org/7269528/","http://www.wikidata.org/entity/Q269094"
"http://data.carnegiehall.org/events/18896","1971-09-14T20:00:00","Savoy Brown, Blues Rock Band","http://data.carnegiehall.org/works/109653","http://data.carnegiehall.org/names/25403","Chuck Berry","http://sws.geonames.org/4407066/","http://www.wikidata.org/entity/Q5921"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109564","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109564","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109577","http://data.carnegiehall.org/names/1005099","Jerry Leiber","http://sws.geonames.org/4347778/","http://www.wikidata.org/entity/Q10539994"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109577","http://data.carnegiehall.org/names/1005099","Jerry Leiber","http://sws.geonames.org/4347778/","http://www.wikidata.org/entity/Q10539994"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/54890","http://data.carnegiehall.org/names/1000044","Mitch Leigh","http://sws.geonames.org/5110302/","http://www.wikidata.org/entity/Q1939469"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/86331","http://data.carnegiehall.org/names/26011","Gino Mescoli","http://sws.geonames.org/3168546/","http://www.wikidata.org/entity/Q3764672"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/13110","http://data.carnegiehall.org/names/1000545","Carlo Donida","http://sws.geonames.org/3173435/","http://www.wikidata.org/entity/Q3659289"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109575","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109575","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/86330","http://data.carnegiehall.org/names/1016871","Les Reed","http://sws.geonames.org/2633709/","http://www.wikidata.org/entity/Q443509"
