"event","date","title","workperformed","genre","genreLabel","composer","composerName","skos"
"http://data.carnegiehall.org/events/5983","1941-04-23T20:30:00","Café Society Concert","http://data.carnegiehall.org/works/44061","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/14703","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/20888","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/32820","1943-04-11T20:30:00","Café Society Concert","http://data.carnegiehall.org/works/14703","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/44600","1905-02-24T15:00:00","Jeannette Mannheimer, Reciter","http://data.carnegiehall.org/works/109880","http://data.carnegiehall.org/genres/6","theater","http://data.carnegiehall.org/names/22809","Israel Zangwill","http://www.wikidata.org/entity/Q113681"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/14059","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/18714","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/18713","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/13168","1928-04-27T20:30:00","W. C. Handy's Orchestra and Jubilee Singers","http://data.carnegiehall.org/works/43092","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/43092","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/25122","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/21830","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/37605","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/9656","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/53679","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/47414","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/52044","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/7698","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/56075","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/38395","1939-08-30T20:00:00","Benefit: Crescendo Club for Destitute Negro Songwriters","http://data.carnegiehall.org/works/109498","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/21829","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/34987","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/51597","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/21933","1938-11-21T20:30:00","W. C. Handy Birthday Concert","http://data.carnegiehall.org/works/72983","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/10596","J. Tim Brymn","http://www.wikidata.org/entity/Q6144295"
"http://data.carnegiehall.org/events/29461","1923-03-25T20:15:00","Isa Kremer, Soprano","http://data.carnegiehall.org/works/26902","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/68760","Harvey B. Gaul","http://www.wikidata.org/entity/Q1587887"
