,composer,composerLabel
103,http://data.carnegiehall.org/names/1005926,Gaspare Spontini
104,http://data.carnegiehall.org/names/1005927,Giampaolo Bracali
105,http://data.carnegiehall.org/names/1005912,Hans Sitt
106,http://data.carnegiehall.org/names/1005913,Ugalberto de Angelis
107,http://data.carnegiehall.org/names/1005915,Georg Liebling
108,http://data.carnegiehall.org/names/1005917,Michael Braz
109,http://data.carnegiehall.org/names/1005918,Rodolphe Kreutzer
110,http://data.carnegiehall.org/names/1005919,Walter Niemann
111,http://data.carnegiehall.org/names/1005902,Franz Anton Hoffmeister
112,http://data.carnegiehall.org/names/1005904,Giulio Caccini
113,http://data.carnegiehall.org/names/1005906,Charles L. Steeger
114,http://data.carnegiehall.org/names/1005907,Frank Stewart
115,http://data.carnegiehall.org/names/1005909,C. Wehle
116,http://data.carnegiehall.org/names/1005911,Charlotte Milligan Fox
117,http://data.carnegiehall.org/names/1005896,Miguel Llobet Soles
118,http://data.carnegiehall.org/names/1005897,C. T. Brunner
119,http://data.carnegiehall.org/names/1005898,James Earle Hines
120,http://data.carnegiehall.org/names/1005899,Alberto Mastra
121,http://data.carnegiehall.org/names/1005900,Gerald Eckert
122,http://data.carnegiehall.org/names/1005901,Oswald von Wolkenstein
123,http://data.carnegiehall.org/names/1005890,Entstanden Mannheim
124,http://data.carnegiehall.org/names/1005891,Giovanni Bolzoni
125,http://data.carnegiehall.org/names/1005892,[first name unknown] Woolsey
126,http://data.carnegiehall.org/names/1005893,[first name unknown] Bartolomew
127,http://data.carnegiehall.org/names/1005894,Johnny Nieto
128,http://data.carnegiehall.org/names/1005895,Juanchin Ramirez
129,http://data.carnegiehall.org/names/1005883,Armas Maasola
130,http://data.carnegiehall.org/names/1005884,Pierre-Alexandre Monsigny
131,http://data.carnegiehall.org/names/1005885,Christoph Ernst Friedrich Weyse
132,http://data.carnegiehall.org/names/1005886,[first name unknown] Kellie
133,http://data.carnegiehall.org/names/1005887,Bobby Troup
134,http://data.carnegiehall.org/names/1005888,Warren Barker
135,http://data.carnegiehall.org/names/1005875,Agustin Barrios Mangore
136,http://data.carnegiehall.org/names/1005876,Giovanni Bassano
137,http://data.carnegiehall.org/names/1005878,Noyes Bartholomew
138,http://data.carnegiehall.org/names/1005879,Claude Delvincourt
139,http://data.carnegiehall.org/names/1005880,Alfred J. Caldicott
140,http://data.carnegiehall.org/names/1005881,Rafael Audinot
141,http://data.carnegiehall.org/names/1005866,Roger Nixon
142,http://data.carnegiehall.org/names/1005867,Jan Wanski
143,http://data.carnegiehall.org/names/1005869,Alfred Hill
144,http://data.carnegiehall.org/names/1005870,Juan de Lienas
145,http://data.carnegiehall.org/names/1005871,Fabian Rehfeld
146,http://data.carnegiehall.org/names/1005873,Flor Peeters
147,http://data.carnegiehall.org/names/1005856,Nikita Koshkin
148,http://data.carnegiehall.org/names/1005859,Carl Millegram
149,http://data.carnegiehall.org/names/1005860,Carl August Fischer
150,http://data.carnegiehall.org/names/1005862,Louis Lemaire
151,http://data.carnegiehall.org/names/1005863,René de Boisdeffre
152,http://data.carnegiehall.org/names/1005865,Johann Baptist Vanhal
153,http://data.carnegiehall.org/names/1005846,Yevstigney Ipat'yevich Fomin
154,http://data.carnegiehall.org/names/1005847,Santiago Lope
155,http://data.carnegiehall.org/names/1005849,Steven Heim
156,http://data.carnegiehall.org/names/1005850,Constantin Ionescu
157,http://data.carnegiehall.org/names/1005851,James Lovendusky
158,http://data.carnegiehall.org/names/1005853,[first name unknown] Giovannini
159,http://data.carnegiehall.org/names/1005838,B. Johnson
160,http://data.carnegiehall.org/names/1005839,[first name unknown] Hedenblad
161,http://data.carnegiehall.org/names/1005840,Agide Jacchia
162,http://data.carnegiehall.org/names/1005841,Gustav Hille
163,http://data.carnegiehall.org/names/1005842,Rodney Rogers
164,http://data.carnegiehall.org/names/1005845,Gavriil Yakimovich Lomakin
165,http://data.carnegiehall.org/names/1005829,Ching Lao Wang
166,http://data.carnegiehall.org/names/1005830,Thomas Brown
167,http://data.carnegiehall.org/names/1005833,Ludwig van Beethoven
168,http://data.carnegiehall.org/names/1005834,Fernando Mendez
169,http://data.carnegiehall.org/names/1005836,Carnell Murrell
170,http://data.carnegiehall.org/names/1005837,Aleksei Lebedev
171,http://data.carnegiehall.org/names/1005821,Ernesto Fuste
172,http://data.carnegiehall.org/names/1005822,Nicolas Roussakis
173,http://data.carnegiehall.org/names/1005825,John Downey
174,http://data.carnegiehall.org/names/1005826,S. Ignatius Covney
175,http://data.carnegiehall.org/names/1005827,Albert W. Ketèlbey
176,http://data.carnegiehall.org/names/1005828,Guillaume Dufay
177,http://data.carnegiehall.org/names/1005812,Tivadar Nachèz
178,http://data.carnegiehall.org/names/1005813,Orest Harasymchuk
179,http://data.carnegiehall.org/names/1005814,Seymour Shifrin
180,http://data.carnegiehall.org/names/1005816,Robert Volkmann
181,http://data.carnegiehall.org/names/1005818,Pablo Sorozábal
182,http://data.carnegiehall.org/names/1005805,George Jackson
183,http://data.carnegiehall.org/names/1005806,Juan Crisóstomo de Arriaga
184,http://data.carnegiehall.org/names/1005807,John Vincent
185,http://data.carnegiehall.org/names/1005809,Robert P. Manookin
186,http://data.carnegiehall.org/names/1005810,Graham Major
187,http://data.carnegiehall.org/names/1005811,Scott Everly
188,http://data.carnegiehall.org/names/1005798,Jean-François Dandrieu
189,http://data.carnegiehall.org/names/1005800,Alfred Mellon
190,http://data.carnegiehall.org/names/1005801,Bernardo Storace
191,http://data.carnegiehall.org/names/1005802,Fred E. Ahlert
192,http://data.carnegiehall.org/names/1005803,Billy Goldenberg
193,http://data.carnegiehall.org/names/1005804,Ross Popoff
194,http://data.carnegiehall.org/names/1005790,Anthony Young
195,http://data.carnegiehall.org/names/1005791,Gerald Humel
196,http://data.carnegiehall.org/names/1005793,Edmund Soule
197,http://data.carnegiehall.org/names/1005795,Paul Dupin
198,http://data.carnegiehall.org/names/1005796,William Brade
199,http://data.carnegiehall.org/names/1005797,Henry A. Russotto
200,http://data.carnegiehall.org/names/1005781,Johann Rupprecht Dürrner
201,http://data.carnegiehall.org/names/1005783,Luigi Gianella
202,http://data.carnegiehall.org/names/1005784,Ching Chu
203,http://data.carnegiehall.org/names/1005785,Charles Lovenberg
204,http://data.carnegiehall.org/names/1005788,Erik Gustaf Geijer
205,http://data.carnegiehall.org/names/1005789,Albert Elkus
206,http://data.carnegiehall.org/names/1005774,Giovanni Battista Bassani
207,http://data.carnegiehall.org/names/1005775,Francis Thomé
208,http://data.carnegiehall.org/names/1005776,Ferdinando Carulli
209,http://data.carnegiehall.org/names/1005777,John Mackey
210,http://data.carnegiehall.org/names/1005778,Thomas W. Shea
211,http://data.carnegiehall.org/names/1005779,Marsha Hunt
212,http://data.carnegiehall.org/names/1005768,Mykhailo Verbytsky
213,http://data.carnegiehall.org/names/1005769,Donald Weelock
214,http://data.carnegiehall.org/names/1005770,Marie Howe
215,http://data.carnegiehall.org/names/1005771,Yevhen Stankovych
216,http://data.carnegiehall.org/names/1005772,Jehan Vaillant
217,http://data.carnegiehall.org/names/1005773,Nino Nicolosi
218,http://data.carnegiehall.org/names/1005762,[first name unknown] Godsky
219,http://data.carnegiehall.org/names/1005763,Henry Ellsworth
220,http://data.carnegiehall.org/names/1005764,Arno Babadjanian
221,http://data.carnegiehall.org/names/1005765,Alexandru Pascanu
222,http://data.carnegiehall.org/names/1005766,Stefano Bracci
223,http://data.carnegiehall.org/names/1005767,Hermann Reutter
224,http://data.carnegiehall.org/names/1005755,Guillaume Landre
225,http://data.carnegiehall.org/names/1005756,Stephen Dembski
226,http://data.carnegiehall.org/names/1005757,William Corbett
227,http://data.carnegiehall.org/names/1005758,[first name unknown] Grahm
228,http://data.carnegiehall.org/names/1005760,Sandberg
229,http://data.carnegiehall.org/names/1005761,David Zamiri
230,http://data.carnegiehall.org/names/1005745,William Duckworth
231,http://data.carnegiehall.org/names/1005746,Johann Ernst Altenburg
232,http://data.carnegiehall.org/names/1005747,Johann Hentzschel
233,http://data.carnegiehall.org/names/1005749,Daniel Wood
234,http://data.carnegiehall.org/names/1005751,Giuseppe Giordani
235,http://data.carnegiehall.org/names/1005752,Manuel Saumell Robredo
236,http://data.carnegiehall.org/names/1005737,Michael Biondi
237,http://data.carnegiehall.org/names/1005738,Harry Seitz
238,http://data.carnegiehall.org/names/1005741,Edward Solomon
239,http://data.carnegiehall.org/names/1005742,Gerald Marks
240,http://data.carnegiehall.org/names/1005743,Tristan Murail
241,http://data.carnegiehall.org/names/1005744,Johann Georg Albrechtsberger
242,http://data.carnegiehall.org/names/1005728,Giovanni Pierluigi de Palestrina
243,http://data.carnegiehall.org/names/1005729,Franz Berwald
244,http://data.carnegiehall.org/names/1005730,Hughie Cannon
245,http://data.carnegiehall.org/names/1005731,Ray Liebau
246,http://data.carnegiehall.org/names/1005735,Johann Christoph Lauterbach
247,http://data.carnegiehall.org/names/1005736,Julián Orbón
248,http://data.carnegiehall.org/names/1005719,Bernard Ernest Neuwirth
249,http://data.carnegiehall.org/names/1005720,Richard Leveridge
250,http://data.carnegiehall.org/names/1005723,Flor Alpaerts
251,http://data.carnegiehall.org/names/1005724,[first name unknown] Sulcer
252,http://data.carnegiehall.org/names/1005726,Carl Alves
253,http://data.carnegiehall.org/names/1005712,John Samuel Norris
254,http://data.carnegiehall.org/names/1005714,Friedrich Roesch
255,http://data.carnegiehall.org/names/1005715,Hans Ernst Kroyer
256,http://data.carnegiehall.org/names/1005716,Theodor Bubeck
257,http://data.carnegiehall.org/names/1005717,Hans Zimmer
258,http://data.carnegiehall.org/names/1005718,Aleksander Zarzycki
259,http://data.carnegiehall.org/names/1005705,Eddie Phoon
260,http://data.carnegiehall.org/names/1005706,Irwin Swack
261,http://data.carnegiehall.org/names/1005707,Tadeusz Szeligowski
262,http://data.carnegiehall.org/names/1005708,Michael P. Ellison
263,http://data.carnegiehall.org/names/1005710,James Dashow
264,http://data.carnegiehall.org/names/1005711,Johann Stobaeus
265,http://data.carnegiehall.org/names/1005695,Antonio Lotti
266,http://data.carnegiehall.org/names/1005698,Richard Tsang
267,http://data.carnegiehall.org/names/1005699,Amos Elkana
268,http://data.carnegiehall.org/names/1005701,Jacques Bank
269,http://data.carnegiehall.org/names/1005702,Viktor Keldorfer
270,http://data.carnegiehall.org/names/1005704,Elaine Barkin
271,http://data.carnegiehall.org/names/1005685,F.A. Hern
272,http://data.carnegiehall.org/names/1005687,Sylvio Lazzari
273,http://data.carnegiehall.org/names/1005689,Arthur H. Bird
274,http://data.carnegiehall.org/names/1005691,Konstantin Listov
275,http://data.carnegiehall.org/names/1005692,Joshua Weisser
276,http://data.carnegiehall.org/names/1005693,Jean-Baptiste Accolay
277,http://data.carnegiehall.org/names/1005677,Peggy Glanville-Hicks
278,http://data.carnegiehall.org/names/1005678,Barry Gibb
279,http://data.carnegiehall.org/names/1005679,Isidor Vorobchievici
280,http://data.carnegiehall.org/names/1005680,Sandor Harmati
281,http://data.carnegiehall.org/names/1005683,Bert Lown
282,http://data.carnegiehall.org/names/1005684,Daniel Börtz
283,http://data.carnegiehall.org/names/1005669,Toshio Kashiwagi
284,http://data.carnegiehall.org/names/1005670,George Bassman
285,http://data.carnegiehall.org/names/1005671,Ernest R. Kroeger
286,http://data.carnegiehall.org/names/1005674,Kazimieras Viktoras Banaitis
287,http://data.carnegiehall.org/names/1005675,Ernest R. Ball
288,http://data.carnegiehall.org/names/1005676,Max Vogrich
