"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/38217","Symphony No. 2: 5. Allegro molto vivace","http://data.carnegiehall.org/names/1008305","Charles Ives"
"http://data.carnegiehall.org/works/40572","Chant of 1942, Op. 33","http://data.carnegiehall.org/names/38194","Paul Creston"
"http://data.carnegiehall.org/works/42244","Overture to Tannhäuser, S. 442","http://data.carnegiehall.org/names/1000277","Richard Wagner"
"http://data.carnegiehall.org/works/107991","Rock Ethic","http://data.carnegiehall.org/names/121512","Norman Zocher"
"http://data.carnegiehall.org/works/115077","Ballad for a Summer's Day","http://data.carnegiehall.org/names/1027506","James Woodard"
"http://data.carnegiehall.org/works/35097","Die Forelle, D. 550","http://data.carnegiehall.org/names/1002249","Franz Schubert"
"http://data.carnegiehall.org/works/41525","Esther: Hallelujah","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/54333","13 Preludes, Op. 32: 4. Prelude in E Minor. Allegro con brio","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/works/55438","Concerto for 2 Mandolins in G Major, RV 532: 1. Allegro","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi"
"http://data.carnegiehall.org/works/53843","Country Pictures: Chimney Swallows, Op. 9, No. 2","http://data.carnegiehall.org/names/65443","Daniel Gregory Mason"
"http://data.carnegiehall.org/works/57035","The Sinfonians","http://data.carnegiehall.org/names/1007377","Clifton Williams"
"http://data.carnegiehall.org/works/58268","Piano Trio No. 1 in B-flat Major, Op. 21","http://data.carnegiehall.org/names/10716","Antonín Dvorák"
"http://data.carnegiehall.org/works/74175","I Just Want to Sing and Dance Like Fred Astaire","http://data.carnegiehall.org/names/13471","Gerry Mulligan"
"http://data.carnegiehall.org/works/87011","9 Mélodies retrouvées: 2. La vie est belle","http://data.carnegiehall.org/names/1006300","Reynaldo Hahn"
"http://data.carnegiehall.org/works/86779","It's Time for Christmas","http://data.carnegiehall.org/names/91056","Phil Barfoot"
"http://data.carnegiehall.org/works/15345","Book for Three","http://data.carnegiehall.org/names/47484","Michael von Biel"
"http://data.carnegiehall.org/works/39608","Dia De Alhad","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/45845","Six Dumbshows","http://data.carnegiehall.org/names/44426","John Harbison"
"http://data.carnegiehall.org/works/59718","You Must Believe in Spring","http://data.carnegiehall.org/names/36623","Michel Legrand"
