"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/112817","Otello: Act IV","http://data.carnegiehall.org/names/1010847","Giuseppe Verdi"
"http://data.carnegiehall.org/works/12078","Etudes-tableaux, Op. 33","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/works/22166","Mayn Yingele","http://data.carnegiehall.org/names/7922","Frederic Rzewski"
"http://data.carnegiehall.org/works/83627","THe Lady's in Love with You","http://data.carnegiehall.org/names/52124","Burton Lane"
"http://data.carnegiehall.org/works/96551","Songs That Won the War","http://data.carnegiehall.org/names/1020360","Jon Cohen"
"http://data.carnegiehall.org/works/109431","The Swing","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/33663","Sarabande in D Minor","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/66442","Intermezzo Scherzoso","http://data.carnegiehall.org/names/1007265","Gustav Saenger"
"http://data.carnegiehall.org/works/79214","Parsifal: Mein Vater!","http://data.carnegiehall.org/names/1000277","Richard Wagner"
"http://data.carnegiehall.org/works/99594","The Worst That Could Happen","http://data.carnegiehall.org/names/65434","Jimmy Webb"
"http://data.carnegiehall.org/works/113184","Semente da Maré","http://data.carnegiehall.org/names/128272","Guilherme Arantes"
"http://data.carnegiehall.org/works/114082","Herz und Mund und Tat und Leben, BWV 147: Jesu, Joy of Man's Desiring","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/17744","Suite from La revue de cuisine","http://data.carnegiehall.org/names/1006403","Bohuslav Martinu"
"http://data.carnegiehall.org/works/30251","If It Isn't Pain, It Isn't Love","http://data.carnegiehall.org/names/63138","Ralph Rainger"
"http://data.carnegiehall.org/works/32714","Hungarian March, R. 438","http://data.carnegiehall.org/names/1001205","Franz Liszt"
"http://data.carnegiehall.org/works/33409","La Dolores: Jota","http://data.carnegiehall.org/names/1002622","Tomás Bretón"
"http://data.carnegiehall.org/works/56947","Einen Sommer Lang","http://data.carnegiehall.org/names/1003252","Eduard Schütt"
"http://data.carnegiehall.org/works/59234","Piano Concerto No. 21 in C Major, K. 467: Excerpt","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
