"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/110441","The Argonaut Overture","http://data.carnegiehall.org/names/1013142","Carl Frangkiser"
"http://data.carnegiehall.org/works/2188","Porgy and Bess: Act III, Scene 2. There's a Boat Dat's Leavin' Soon for New York","http://data.carnegiehall.org/names/34823","George Gershwin"
"http://data.carnegiehall.org/works/13020","Octet for Wind Instruments","http://data.carnegiehall.org/names/12468","Igor Stravinsky"
"http://data.carnegiehall.org/works/15347","Romance for Violin and Piano","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven"
"http://data.carnegiehall.org/works/25125","March of the Children","http://data.carnegiehall.org/names/65769","Don Sebesky"
"http://data.carnegiehall.org/works/27597","Three Pieces for Solo Harp","http://data.carnegiehall.org/names/1004631","Simeon Pironkov"
"http://data.carnegiehall.org/works/34099","Prelude No. 5","http://data.carnegiehall.org/names/13576","Carlos Chávez"
"http://data.carnegiehall.org/works/40091","Scherzo","http://data.carnegiehall.org/names/1001109","Fran Lhotka"
"http://data.carnegiehall.org/works/70462","Serenade in B-flat Major, Op. 43","http://data.carnegiehall.org/names/1013232","Emil Hartmann"
"http://data.carnegiehall.org/works/86436","Offering","http://data.carnegiehall.org/names/41957","Walter Golde"
"http://data.carnegiehall.org/works/99241","3 Romanzen, Op. 22","http://data.carnegiehall.org/names/1010839","Clara Schumann"
"http://data.carnegiehall.org/works/7723","Années de pèlerinage, 1re année, Suisse, S. 160: 5. Orage","http://data.carnegiehall.org/names/1001205","Franz Liszt"
"http://data.carnegiehall.org/works/25518","Air For Winds","http://data.carnegiehall.org/names/1003231","Melvin L. Shelton"
"http://data.carnegiehall.org/works/46476","Four Songs, Op. 14: 2. April","http://data.carnegiehall.org/names/1007002","Roger Quilter"
"http://data.carnegiehall.org/works/61927","English Suite No. 6 in D Minor, BWV 811: Sarabande-Double","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/114062","A Nation of Others","http://data.carnegiehall.org/names/72788","Paul Moravec"
"http://data.carnegiehall.org/works/18060","White Nights","http://data.carnegiehall.org/names/1007598","Eugene Bonner"
"http://data.carnegiehall.org/works/23469","Stornello","http://data.carnegiehall.org/names/52304","Pietro Cimara"
"http://data.carnegiehall.org/works/25973","Fantasy No. 9 in E Major TWV 40:10","http://data.carnegiehall.org/names/1006265","Georg Philipp Telemann"
"http://data.carnegiehall.org/works/47236","10 Preludes, Op. 23: 6. Prelude in E-flat Major","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/works/84062","The Deepest Water","http://data.carnegiehall.org/names/90689","David Templeton"
"http://data.carnegiehall.org/works/87691","The Bold Vaquero","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/114549","Los días no volverán","http://data.carnegiehall.org/names/129986","Carlos Varela"
"http://data.carnegiehall.org/works/26564","Baal Shem: Three Pictures of Chassidic Life: 1. Vidui (Contrition)","http://data.carnegiehall.org/names/31210","Ernest Bloch"
"http://data.carnegiehall.org/works/31837","Berenice, HWV 38: Act II. Sì, tra i ceppi","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/34867","Fantaisie sur des motifs hongrois, Op. 35","http://data.carnegiehall.org/names/1001085","Franz Doppler"
"http://data.carnegiehall.org/works/35461","Alla Zingaresca","http://data.carnegiehall.org/names/1009059","A. Tschetschulin"
"http://data.carnegiehall.org/works/97384","When the Saints Go Marching In","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/107851","La revue de cuisine, H. 161","http://data.carnegiehall.org/names/1006403","Bohuslav Martinu"
"http://data.carnegiehall.org/works/19266","String Quartet No. 3 in D Major, Op. 44, No. 1","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn"
"http://data.carnegiehall.org/works/77897","Aide, Aide","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/79967","Magna Est Veritas","http://data.carnegiehall.org/names/34754","Carlyle Davis"
"http://data.carnegiehall.org/works/94200","Sonata No. 3 for Violin and Piano","http://data.carnegiehall.org/names/61774","Lera Auerbach"
"http://data.carnegiehall.org/works/104427","Snow-Flakes","http://data.carnegiehall.org/names/1012474","Lauren Bernofsky"
"http://data.carnegiehall.org/works/110340","6 Gesänge, Op. 8: 3. Durch den Wald im Mondenscheine","http://data.carnegiehall.org/names/1004767","Robert Franz"
"http://data.carnegiehall.org/works/85220","Prélude à l'après-midi d'un faune","http://data.carnegiehall.org/names/1009368","Claude Debussy"
"http://data.carnegiehall.org/works/3871","Don Giovanni, K. 527: Crudele! Ah no! Mio bene!","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/25362","La alegría del batallón:  Canción guajira","http://data.carnegiehall.org/names/1000195","José Serrano"
"http://data.carnegiehall.org/works/72372","Souvenir d’un lieu cher, Op. 42","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky"
"http://data.carnegiehall.org/works/78984","Marche funèbre, Op. 26","http://data.carnegiehall.org/names/1002861","Charles-Valentin Alkan"
"http://data.carnegiehall.org/works/104551","Leisure Hour Fragment","http://data.carnegiehall.org/names/24368","Fela Sowande"
"http://data.carnegiehall.org/works/72863","Ave Maria","http://data.carnegiehall.org/names/1001495","Tomas Luis de Victoria"
"http://data.carnegiehall.org/works/77302","Bozlak","http://data.carnegiehall.org/names/67879","Cem Duruöz"
"http://data.carnegiehall.org/works/435","Chef cu lautari (""Merrymaking with Fiddlers"")","http://data.carnegiehall.org/names/1004990","Dinu Lipatti"
"http://data.carnegiehall.org/works/30447","The Cock Shall Crow","http://data.carnegiehall.org/names/59450","John Alden Carpenter"
"http://data.carnegiehall.org/works/49219","My Country, Op. 70","http://data.carnegiehall.org/names/21339","Mortimer Wilson"
"http://data.carnegiehall.org/works/70978","Bright Cecilia: Purcell Variation","http://data.carnegiehall.org/names/63426","Magnus Lindberg"
"http://data.carnegiehall.org/works/94710","Lob der Tränen, D. 711","http://data.carnegiehall.org/names/1002249","Franz Schubert"
"http://data.carnegiehall.org/works/13808","Sonata in D Major, K. 29","http://data.carnegiehall.org/names/1002668","Domenico Scarlatti"
"http://data.carnegiehall.org/works/12857","Étude in C-sharp Minor (unspecified)","http://data.carnegiehall.org/names/50808","Alexander Scriabin"
"http://data.carnegiehall.org/works/16290","10 Songs: Ya lyubila yego (I loved him)","http://data.carnegiehall.org/names/1010587","Mily Balakirev"
"http://data.carnegiehall.org/works/25894","Hora Novissima, Op. 30: Cometh Earth's Latest Hour","http://data.carnegiehall.org/names/65787","Horatio Parker"
"http://data.carnegiehall.org/works/37633","Wolfsaugen","http://data.carnegiehall.org/names/1005959","Hugo Kaun"
"http://data.carnegiehall.org/works/52420","To the Regions Beyond","http://data.carnegiehall.org/names/58054","Lee Olson"
"http://data.carnegiehall.org/works/54949","Sicut umbra","http://data.carnegiehall.org/names/23228","Luigi Dallapiccola"
"http://data.carnegiehall.org/works/61166","Estampas","http://data.carnegiehall.org/names/1002299","Federico Moreno Torroba"
"http://data.carnegiehall.org/works/78248","At Night","http://data.carnegiehall.org/names/1014916","Jenni Brandon"
"http://data.carnegiehall.org/works/86644","Sonata in D Major, K. 178","http://data.carnegiehall.org/names/1002668","Domenico Scarlatti"
"http://data.carnegiehall.org/works/88009","Passacaglia","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/9226","Terremoto con Variazioni, Op. 1","http://data.carnegiehall.org/names/1009109","Luigi Legnani"
"http://data.carnegiehall.org/works/16767","Song of the Dagger","http://data.carnegiehall.org/names/1010825","Charles Tomlinson Griffes"
"http://data.carnegiehall.org/works/17312","Four and Twenty Elders","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/26149","Citizen of Paradise","http://data.carnegiehall.org/names/1003968","Carlisle Floyd"
"http://data.carnegiehall.org/works/30572","The Blue Journey","http://data.carnegiehall.org/names/1006183","Kamran Ince"
"http://data.carnegiehall.org/works/63806","Cantate Domino: Etude on Psalm 97","http://data.carnegiehall.org/names/1008242","Mark Adamo"
"http://data.carnegiehall.org/works/68147","Three Sonnets from ""Cummings Pentad""","http://data.carnegiehall.org/names/71640","Peter Perrin"
"http://data.carnegiehall.org/works/64132","Noël nouveau est venu (Savoie)","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/28042","Piano Sonata No. 17 in D Minor, Op. 31, No. 2, ""The Tempest"": 3. Allegretto","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven"
"http://data.carnegiehall.org/works/38959","Long, Long Ago (English)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/44207","Early Bird Catches The Note","http://data.carnegiehall.org/names/1002346","William Hirtz"
"http://data.carnegiehall.org/works/73699","Study No. 9","http://data.carnegiehall.org/names/1001047","Conlon Nancarrow"
"http://data.carnegiehall.org/works/79440","650 East Concert March","http://data.carnegiehall.org/names/1015140","Jack Hale"
"http://data.carnegiehall.org/works/1866","Tolerance","http://data.carnegiehall.org/names/1008305","Charles Ives"
"http://data.carnegiehall.org/works/5315","Shamus O'Brien, Op. 61: Overture","http://data.carnegiehall.org/names/1008077","Charles Villiers Stanford"
"http://data.carnegiehall.org/works/6199","Beauty","http://data.carnegiehall.org/names/1005343","Easthope Martin"
"http://data.carnegiehall.org/works/38583","Unter a grin beimele","http://data.carnegiehall.org/names/97036","Solomon Rosowsky"
"http://data.carnegiehall.org/works/68302","If Music be the Food of Love","http://data.carnegiehall.org/names/1012813","Michael Larkin"
"http://data.carnegiehall.org/works/63555","Four Psalms: Psalm 12","http://data.carnegiehall.org/names/73796","Bruce Saylor"
"http://data.carnegiehall.org/works/81221","I am a Boy","http://data.carnegiehall.org/names/35957","Pete Townshend"
"http://data.carnegiehall.org/works/98962","...Not Afraid to Dream","http://data.carnegiehall.org/names/1005471","Brian Balmages"
"http://data.carnegiehall.org/works/101090","Choctaw Cowboy","http://data.carnegiehall.org/names/91516","Gretchen Wolaver"
"http://data.carnegiehall.org/works/111122","The Third Man: Theme","http://data.carnegiehall.org/names/1007553","Anton Karas"
"http://data.carnegiehall.org/works/6825","Renaissance, Book I: Menuet in G Minor","http://data.carnegiehall.org/names/1001786","Jean-Philippe Rameau"
"http://data.carnegiehall.org/works/17128","Symphonie romantique ‘La nuit des tropiques’ (‘Noche de los tropicos’)","http://data.carnegiehall.org/names/1003051","Louis Moreau Gottschalk"
"http://data.carnegiehall.org/works/50442","Prélude in E Major, Op. 11, No. 9","http://data.carnegiehall.org/names/50808","Alexander Scriabin"
"http://data.carnegiehall.org/works/71439","The Trooper's Song","http://data.carnegiehall.org/names/1013433","C. Zahn"
"http://data.carnegiehall.org/works/76054","Kamancha (Armenian - Ashugh Song)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/89041","Vocalise, Op. 34, No. 14","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/works/1978","4 Pieces for Violin and Piano, Op. 7","http://data.carnegiehall.org/names/1007501","Anton Webern"
"http://data.carnegiehall.org/works/7601","Your Love to Hold","http://data.carnegiehall.org/names/38890","Oscar Straus"
"http://data.carnegiehall.org/works/44162","Cirrus","http://data.carnegiehall.org/names/1004555","Sam Dennison"
"http://data.carnegiehall.org/works/74813","Reuben, Reuben: The Rose Song","http://data.carnegiehall.org/names/42852","Marc Blitzstein"
"http://data.carnegiehall.org/works/84608","O Pato","http://data.carnegiehall.org/names/1016422","Jayme Silva"
"http://data.carnegiehall.org/works/102264","Ti Romiosini min tin kles (Don't Weep for the Greek Spirit)","http://data.carnegiehall.org/names/31188","Mikis Theodorakis"
"http://data.carnegiehall.org/works/76950","Suite Antillana: 5. Seis Milonga","http://data.carnegiehall.org/names/1005381","Ernesto Cordero"
"http://data.carnegiehall.org/works/105120","By the Danube there is a mill (Hungarian peasant song)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/106124","Mugunghwa (Rose of Sharon)","http://data.carnegiehall.org/names/1024363","Sujin Hwang"
"http://data.carnegiehall.org/works/5404","Dost thou love me?","http://data.carnegiehall.org/names/1007796","Eduard Schön"
"http://data.carnegiehall.org/works/67130","Wachet auf, ruft uns die Stimme, BWV 140: 6. Duet: Mein Freund ist mein! Und ich bin dein!","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/76902","Prelude, Fugue and Allegro in E-flat Major, BWV 998: Prelude","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/106264","Nem ettem én ma egyebet, Kata (The whole day I had nothing to eat, Kathy)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/20794","Wind Quintet","http://data.carnegiehall.org/names/43479","Hans Werner Henze"
"http://data.carnegiehall.org/works/29596","Ode to Music","http://data.carnegiehall.org/names/1009380","Herbert Bedford"
"http://data.carnegiehall.org/works/39534","Oh, Holy Lord","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/70980","The Wrangler","http://data.carnegiehall.org/names/1003673","Carter Pann"
