"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/24391","Exercices poétiques: Tristesse et Caprice","http://data.carnegiehall.org/names/1007612","Zoltán Horusitzky"
"http://data.carnegiehall.org/works/57297","Doll's Dream","http://data.carnegiehall.org/names/1006481","[first name unknown] Theodore"
"http://data.carnegiehall.org/works/62162","Minuet in A Major, Op. 11, No. 8","http://data.carnegiehall.org/names/1007369","Fernando Sor"
"http://data.carnegiehall.org/works/78549","Scherzo","http://data.carnegiehall.org/names/1004603","Giacomo Puccini"
"http://data.carnegiehall.org/works/30234","Symphony No. 9 in D Minor","http://data.carnegiehall.org/names/1002382","Anton Bruckner"
"http://data.carnegiehall.org/works/47257","Rondo in B-flat Major, K. 269","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/48125","String Quartet in A Minor: Scherzo","http://data.carnegiehall.org/names/3029","Pavlo Pecheniha-Uhlytsky"
"http://data.carnegiehall.org/works/85350","As Tears Go By","http://data.carnegiehall.org/names/42135","Mick Jagger"
"http://data.carnegiehall.org/works/111066","Il faut aimer","http://data.carnegiehall.org/names/29629","Rudolph Ganz"
"http://data.carnegiehall.org/works/4730","Cavalleria rusticana: Turiddu mi tolse l'onore","http://data.carnegiehall.org/names/1008290","Pietro Mascagni"
"http://data.carnegiehall.org/works/11813","Venezuelan Waltz","http://data.carnegiehall.org/names/1005173","Antonio Lauro"
"http://data.carnegiehall.org/works/45374","Pavana","http://data.carnegiehall.org/names/1005506","Francisco Tárrega"
"http://data.carnegiehall.org/works/47234","Concert Piece","http://data.carnegiehall.org/names/1005252","Charles Carter"
"http://data.carnegiehall.org/works/50301","Etudes and Polkas: Polka","http://data.carnegiehall.org/names/1006403","Bohuslav Martinu"
"http://data.carnegiehall.org/works/67698","Résonateur","http://data.carnegiehall.org/names/38711","Rand Steiger"
"http://data.carnegiehall.org/works/69564","Marche sur un thème russe, Op. 76","http://data.carnegiehall.org/names/1009300","Alexander Glazunov"
"http://data.carnegiehall.org/works/80738","Colors of Crimson","http://data.carnegiehall.org/names/50471","Bright Sheng"
"http://data.carnegiehall.org/works/86359","Mother Volga (Russian)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/8965","Guitar Concerto, Op. 88","http://data.carnegiehall.org/names/1004552","Lennox Berkeley"
"http://data.carnegiehall.org/works/29166","Seranade","http://data.carnegiehall.org/names/1010170","Alphonse Hasselmans"
"http://data.carnegiehall.org/works/31605","5 digte, Op. 60","http://data.carnegiehall.org/names/1000740","Edvard Grieg"
"http://data.carnegiehall.org/works/31838","D'un cahier d'esquisses","http://data.carnegiehall.org/names/1009368","Claude Debussy"
"http://data.carnegiehall.org/works/40452","From a Wigwam","http://data.carnegiehall.org/names/1004814","Cecil Burleigh"
"http://data.carnegiehall.org/works/48750","The Quest","http://data.carnegiehall.org/names/1016246","Eleanor Smith"
"http://data.carnegiehall.org/works/78629","Songs by E. E. Cummings: little fourpaws","http://data.carnegiehall.org/names/35180","Celius Dougherty"
"http://data.carnegiehall.org/works/84992","Dawn","http://data.carnegiehall.org/names/113308","Eric William Barnum"
"http://data.carnegiehall.org/works/101993","West Side Story: Prologue","http://data.carnegiehall.org/names/57697","Leonard Bernstein"
"http://data.carnegiehall.org/works/108251","There Is God","http://data.carnegiehall.org/names/29751","Donnie McClurkin"
"http://data.carnegiehall.org/works/33544","Der Blick, Op. 3c","http://data.carnegiehall.org/names/14782","Adolf Busch"
"http://data.carnegiehall.org/works/46294","I Remember Bird","http://data.carnegiehall.org/names/52431","Leonard Feather"
"http://data.carnegiehall.org/works/59305","Música Callada, Book iv: Selections","http://data.carnegiehall.org/names/1004904","Frederic Mompou"
"http://data.carnegiehall.org/works/48246","E A Caravana Passa","http://data.carnegiehall.org/names/1002731","Jose Francisco do Nascimento"
"http://data.carnegiehall.org/works/78426","Spring Festival in Northeast","http://data.carnegiehall.org/names/1014961","Qi-chang Zhou"
"http://data.carnegiehall.org/works/104642","Rivera Mountain","http://data.carnegiehall.org/names/1023853","John Sangster"
"http://data.carnegiehall.org/works/18961","It's Always Fair Weather: I Like Myself","http://data.carnegiehall.org/names/23501","André Previn"
"http://data.carnegiehall.org/works/24659","Souvenirs, Op. 28","http://data.carnegiehall.org/names/1005021","Samuel Barber"
"http://data.carnegiehall.org/works/26176","Capriccioso notturno","http://data.carnegiehall.org/names/1006103","Edward Boguslawski"
"http://data.carnegiehall.org/works/43034","Minuetto, Op. 56, No. 6","http://data.carnegiehall.org/names/1010533","Moritz Moszkowski"
"http://data.carnegiehall.org/works/15769","Ubaguruma","http://data.carnegiehall.org/names/1003916","Sadao Bekku"
"http://data.carnegiehall.org/works/35300","Cantares de mi tierra: 3. Que es matarme confieso el olvidarme","http://data.carnegiehall.org/names/1004075","Julio Osma"
"http://data.carnegiehall.org/works/51014","23 Dainas: Daina No. 6","http://data.carnegiehall.org/names/132648","Janis Medinš"
"http://data.carnegiehall.org/works/64372","And I saw a new heaven","http://data.carnegiehall.org/names/17027","Robert Nicholls"
"http://data.carnegiehall.org/works/91903","O Tannenbaum (German)","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/95287","Mzeo tibatvis (The Sun of October)","http://data.carnegiehall.org/names/1006590","Otar Taktakishvili"
"http://data.carnegiehall.org/works/23117","Sonata for Violin and Continuo in F Major, HWV 370 (Op. 1, No. 12): 1. Adagio","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/36791","Brassman's Holiday","http://data.carnegiehall.org/names/19920","Billy May"
"http://data.carnegiehall.org/works/73352","Prime Time Blues","http://data.carnegiehall.org/names/22181","Anders Edenroth"
"http://data.carnegiehall.org/works/82077","The Land of Flowers","http://data.carnegiehall.org/names/1015787","Michael Chirinashvili"
"http://data.carnegiehall.org/works/97880","Benedicta es caelorum regina (14th century sequence chant)","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/100600","Milyang Arirang","http://data.carnegiehall.org/names/1022094","Kyu Young Jin"
"http://data.carnegiehall.org/works/15662","Union, Op. 48","http://data.carnegiehall.org/names/1003051","Louis Moreau Gottschalk"
"http://data.carnegiehall.org/works/22302","Benché amor mi faci torto","http://data.carnegiehall.org/names/1008474","Bartolomeo Tromboncino"
"http://data.carnegiehall.org/works/31252","Zog nit keynmol","http://data.carnegiehall.org/names/1017984","Dmitry Pokrass"
"http://data.carnegiehall.org/works/50265","The Devil's awa' wi' the Exciseman (Scottish)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/72304","4 Norwegian Dances, Op. 35: 1. Allegro marcato","http://data.carnegiehall.org/names/1000740","Edvard Grieg"
"http://data.carnegiehall.org/works/82594","Jongo","http://data.carnegiehall.org/names/88684","André Dequech"
"http://data.carnegiehall.org/works/116659","Dear Evan Hansen: Waving Through a Window","http://data.carnegiehall.org/names/1022558","Benj Pasek"
"http://data.carnegiehall.org/works/88053","Hermosas ninfas que, en el rio metidas","http://data.carnegiehall.org/names/61544","Z. Randall Stroope"
"http://data.carnegiehall.org/works/88187","Mass in D Major","http://data.carnegiehall.org/names/1015363","Ethel Smyth"
"http://data.carnegiehall.org/works/89825","Allegro","http://data.carnegiehall.org/names/1017979","Johann Christoph Monn"
"http://data.carnegiehall.org/works/90331","Yaleil (Oh, Night)","http://data.carnegiehall.org/names/132208","Yedidiah Admon"
"http://data.carnegiehall.org/works/104900","Snow Dance","http://data.carnegiehall.org/names/116510","Jiro Yoshida"
"http://data.carnegiehall.org/works/115658","He Was Too Good to Me","http://data.carnegiehall.org/names/37239","Richard Rodgers"
"http://data.carnegiehall.org/works/2311","Polish Idylls: Solitude, Op. 24, No. 1","http://data.carnegiehall.org/names/5224","Zygmunt Stojowski"
"http://data.carnegiehall.org/works/7288","The Grand Tour: I Think I Think","http://data.carnegiehall.org/names/50177","Jerry Herman"
"http://data.carnegiehall.org/works/20302","Prelude and Dance","http://data.carnegiehall.org/names/54072","Steven R. Huter"
"http://data.carnegiehall.org/works/58408","Arie Antique","http://data.carnegiehall.org/names/1008080","Various Composers"
"http://data.carnegiehall.org/works/65585","Four Paintings","http://data.carnegiehall.org/names/608","Aleksandrs Okolo-Kulaks"
"http://data.carnegiehall.org/works/112806","15 Preludes: Selections (unspecified)","http://data.carnegiehall.org/names/1000135","Nino Rota"
"http://data.carnegiehall.org/works/6448","Air Varié No. 2, Op. 22","http://data.carnegiehall.org/names/1003698","Giulio Regondi"
"http://data.carnegiehall.org/works/10969","Green Grass (Russian)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/21866","Shir Bat-sheva (""Song of Bethsheba""--Paraphrasing the Song of Songs)","http://data.carnegiehall.org/names/1006424","Verdina Shlonsky"
"http://data.carnegiehall.org/works/26055","Quel fior che all’alba ride, HWV 192","http://data.carnegiehall.org/names/1004515","George Frideric Handel"
"http://data.carnegiehall.org/works/33042","4 Gesänge, Op. 70: 4. Abendregen","http://data.carnegiehall.org/names/1004316","Johannes Brahms"
"http://data.carnegiehall.org/works/37564","Blues dans le Bergerie","http://data.carnegiehall.org/names/1004795","Raymond Fol"
"http://data.carnegiehall.org/works/103941","Falsetto","http://data.carnegiehall.org/names/69709","Chris Thile"
"http://data.carnegiehall.org/works/42933","Hats","http://data.carnegiehall.org/names/36267","Mara Waldman"
"http://data.carnegiehall.org/works/53841","Mass in B Minor, BWV 232: Gloria in excelsis","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/55354","Symphony No. 6","http://data.carnegiehall.org/names/43479","Hans Werner Henze"
"http://data.carnegiehall.org/works/60502","Puritan Sonnet","http://data.carnegiehall.org/names/38567","John Duke"
"http://data.carnegiehall.org/works/71882","Elegia","http://data.carnegiehall.org/names/1013523","Peter Paul Koprowski"
"http://data.carnegiehall.org/works/86989","Flower Drum Song: I Am Going to Like It Here","http://data.carnegiehall.org/names/37239","Richard Rodgers"
"http://data.carnegiehall.org/works/18171","Predicaments","http://data.carnegiehall.org/names/1005458","Sean O'Loughlin"
"http://data.carnegiehall.org/works/22064","Auf den Flügeln der Harfe","http://data.carnegiehall.org/names/1004942","Nicolaus A. Huber"
"http://data.carnegiehall.org/works/24219","El Yivne Ha-Galil (Song of Galilee)","http://data.carnegiehall.org/names/1002055","Julius Chajes"
