"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/99540","Going Home","http://data.carnegiehall.org/names/10716","Antonín Dvorák"
"http://data.carnegiehall.org/works/3307","Sonata in A Major, K. 113","http://data.carnegiehall.org/names/1002668","Domenico Scarlatti"
"http://data.carnegiehall.org/works/60854","Songs of Innocence","http://data.carnegiehall.org/names/55904","Anthony Strilko"
"http://data.carnegiehall.org/works/65973","In the Name(less)","http://data.carnegiehall.org/names/41195","Paul Dresher"
"http://data.carnegiehall.org/works/97001","Aubade for the Continuation of Life","http://data.carnegiehall.org/names/4967","William Bolcom"
"http://data.carnegiehall.org/works/104360","A Christmas Journey","http://data.carnegiehall.org/names/1023740","Jayne Traynor Rose"
"http://data.carnegiehall.org/works/2609","3 Chansons de Charles d'Orléans: 3. Yver, vous n'estes qu'un villain","http://data.carnegiehall.org/names/1009368","Claude Debussy"
"http://data.carnegiehall.org/works/36371","Oh! tell me dear one","http://data.carnegiehall.org/names/1007817","Emil Sjögren"
"http://data.carnegiehall.org/works/55480","Jesu, der du meine Seele, BWV 78: 2. Aria (duet): Wir eilen mit schwachen doch emsigen Schritten","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/64948","Dolly Suite, Op. 56: 2. Mi-a-ou","http://data.carnegiehall.org/names/1009412","Gabriel Fauré"
"http://data.carnegiehall.org/works/75506","Laible Woods","http://data.carnegiehall.org/names/8532","Clare Fischer"
"http://data.carnegiehall.org/works/83438","La Habana tiene su son","http://data.carnegiehall.org/names/1016110","Francisco Oropesa"
"http://data.carnegiehall.org/works/100582","After the Revels","http://data.carnegiehall.org/names/89879","Mohammed Fairouz"
"http://data.carnegiehall.org/works/39255","The Golden Legend","http://data.carnegiehall.org/names/1007799","Arthur Sullivan"
"http://data.carnegiehall.org/works/52196","In the Fields","http://data.carnegiehall.org/names/34426","Robert Fairfax Birch"
"http://data.carnegiehall.org/works/61039","King for a Day","http://data.carnegiehall.org/names/13206","Dave Brubeck"
"http://data.carnegiehall.org/works/53393","Love me or not","http://data.carnegiehall.org/names/1003015","Antonio Secchi"
"http://data.carnegiehall.org/works/53937","Violin Sonata in C Major, K. 296","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/76164","Cirandinhas: 2. Adeus, bela morena","http://data.carnegiehall.org/names/47140","Heitor Villa-Lobos"
"http://data.carnegiehall.org/works/85194","Song (unspecified)","http://data.carnegiehall.org/names/38567","John Duke"
"http://data.carnegiehall.org/works/92553","Danse macabre, Op. 40","http://data.carnegiehall.org/names/41588","Camille Saint-Saëns"
