"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/40988","Cerdaña: 5. Le retour des muletiers","http://data.carnegiehall.org/names/1010753","Déodat de Sévérac"
"http://data.carnegiehall.org/works/49347","A Life for the Tsar: Gayly flows the water in Springtime","http://data.carnegiehall.org/names/1007356","Mikhail Glinka"
"http://data.carnegiehall.org/works/110174","5 unspecified chorales","http://data.carnegiehall.org/names/1015882","Erich Katz"
"http://data.carnegiehall.org/works/19981","Narciss","http://data.carnegiehall.org/names/1001010","Jean Sibelius"
"http://data.carnegiehall.org/works/25795","Sonatina","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/59739","Sea Songs","http://data.carnegiehall.org/names/1006483","Ralph Vaughan Williams"
"http://data.carnegiehall.org/works/94127","Kingfishers Catch Fire: 2. Kingfishers catch fire","http://data.carnegiehall.org/names/1005777","John Mackey"
"http://data.carnegiehall.org/works/107802","I'll Be There Soon","http://data.carnegiehall.org/names/121287","Michael Alvarado"
"http://data.carnegiehall.org/works/58560","Pupazetti, Op. 27: Notturnino","http://data.carnegiehall.org/names/28032","Alfredo Casella"
"http://data.carnegiehall.org/works/83498","Going to New York","http://data.carnegiehall.org/names/26358","Jimmy Reed"
"http://data.carnegiehall.org/works/10417","Improvisation (unspecified)","http://data.carnegiehall.org/names/37816","Francis Poulenc"
"http://data.carnegiehall.org/works/80060","Soshu yakyoku (Serenade)","http://data.carnegiehall.org/names/1013015","Ryoichi Hattori"
"http://data.carnegiehall.org/works/81517","Lights Out: 4. Lights Out","http://data.carnegiehall.org/names/1004550","Ivor Gurney"
"http://data.carnegiehall.org/works/17250","Fantasy for Brass, Piano, and Percussion","http://data.carnegiehall.org/names/69622","Hall Overton"
"http://data.carnegiehall.org/works/30675","Palpiti, Op. 9","http://data.carnegiehall.org/names/1003315","Vazgen Muradian"
"http://data.carnegiehall.org/works/78841","Our Dream","http://data.carnegiehall.org/names/1015035","Il Kwon Kim"
"http://data.carnegiehall.org/works/112892","Songs (unspecified)","http://data.carnegiehall.org/names/10315","John La Montaine"
"http://data.carnegiehall.org/works/5424","Symphony No. 39 in E-flat Major, K. 543: 1. Adagio — Allegro","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart"
"http://data.carnegiehall.org/works/15805","Darkness, Disappear!","http://data.carnegiehall.org/names/1007976","Isang Yun"
"http://data.carnegiehall.org/works/22069","Orlando furioso: Sorge l'irato nembo","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi"
"http://data.carnegiehall.org/works/48893","Játékok, Book III: Hommage à Schubert","http://data.carnegiehall.org/names/54687","György Kurtág"
"http://data.carnegiehall.org/works/51054","Los gavilanes: Otra vez vuelvo a mirarte","http://data.carnegiehall.org/names/1005045","Jacinto Guerrero"
