"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/19185","God be with our boys tonight","http://data.carnegiehall.org/names/1001421","Wilfred Sanderson","http://www.wikidata.org/entity/Q8001783"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/86937","The Gentle Maiden (Irish)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/91742","The West's Awake (Irish)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/21052","Semele, HWV 58: Act II. Where'er you walk","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/91741","Annie Laurie","http://data.carnegiehall.org/names/1008678","Alicia Ann Scott","http://www.wikidata.org/entity/Q3931581"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/48188","The Irish Emigrant","http://data.carnegiehall.org/names/1000535","George Barker","http://www.wikidata.org/entity/Q16063915"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/25165","The Bitterness of Love","http://data.carnegiehall.org/names/19694","James P. Dunn","http://www.wikidata.org/entity/Q16025152"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/13743","Una waun (""Fair Una"") (Gaelic)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/16690","An Sylvia, D. 891","http://data.carnegiehall.org/names/1002249","Franz Schubert","http://www.wikidata.org/entity/Q7312"
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/86935","Molly Brannigan (Irish)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/86940","The Songs My Mother Sang (Irish)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/86939","The Fairy Tree (Irish)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/21481","1945-02-25T20:00:00","John Feeney, Tenor",,,"http://data.carnegiehall.org/works/39743","By the Short Cut to the Rosses","http://data.carnegiehall.org/names/1005911","Charlotte Milligan Fox",
"http://data.carnegiehall.org/events/21482","1952-04-30T20:30:00","Carnival of Stars",,,"http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/21483","1943-05-14T20:30:00","Lucky Strike's Your All-Time Hit Parade","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/10557","Antiche danze et arie per liuto, Suite No. 1: Gagliarda (Vincenzo Galilei)","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/6487","Guillaume Tell: Overture","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/56176","Juventus","http://data.carnegiehall.org/names/58718","Victor De Sabata","http://www.wikidata.org/entity/Q464890"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/15588","Le baruffe chiozzotte, Op. 32","http://data.carnegiehall.org/names/1006193","Leone Sinigaglia","http://www.wikidata.org/entity/Q2250189"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/61970","Antiche danze et arie per liuto, Suite No. 1: 1. Balletto detto ""Il Conte Orlando""","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/45698","The Fountains of Rome","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/21484","1921-02-03T15:00:00","New York Symphony Orchestra",,,"http://data.carnegiehall.org/works/36750","Le couvent sur l'eau (Il convento veneziano), Op. 18: Suite","http://data.carnegiehall.org/names/28032","Alfredo Casella","http://www.wikidata.org/entity/Q337343"
"http://data.carnegiehall.org/events/21486","1998-02-10T20:00:00","BachWorks",,,"http://data.carnegiehall.org/works/729","Himmelskönig, sei willkommen, BWV 182","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/21486","1998-02-10T20:00:00","BachWorks",,,"http://data.carnegiehall.org/works/12191","Nun komm, der Heiden Heiland, BWV 61","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
