"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102456","A Little Night Music: Send in the Clowns","http://data.carnegiehall.org/names/97606","Stephen Sondheim","http://www.wikidata.org/entity/Q153579"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102444","Three Motets, Op. 39: 3. Surrexit Pastor","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102451","Who'll Be A Witness","http://data.carnegiehall.org/names/1010036","Spiritual","http://www.wikidata.org/entity/Q212024"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102448","Ave Maria","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/36249","Nigra Sum","http://data.carnegiehall.org/names/27641","Pablo Casals","http://www.wikidata.org/entity/Q208537"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102446","Carmen: Selections","http://data.carnegiehall.org/names/1002900","Georges Bizet","http://www.wikidata.org/entity/Q56158"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/9760","Vesperae solennes de confessore , K. 339: Laudate Dominum","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102447","America the Beautiful","http://data.carnegiehall.org/names/1003094","Samuel Augustus Ward",
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102452","A Shaker Patchwork (Shaker Hymns)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102458","Old Chisholm Trail","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102453","Miracles","http://data.carnegiehall.org/names/1001845","Gian Carlo Menotti","http://www.wikidata.org/entity/Q270662"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102445","Bible Songs for Young Voices","http://data.carnegiehall.org/names/54470","Gregg Smith","http://www.wikidata.org/entity/Q51768661"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102459","Home on the Range","http://data.carnegiehall.org/names/1011837","Daniel E. Kelley",
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/52170","Gloria in D Major, RV 589: Laudamus te","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi","http://www.wikidata.org/entity/Q1340"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102454","Pianos Foster and Voices Jubilee","http://data.carnegiehall.org/names/113490","Jack Noble White",
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102455","Annie: Tomorrow","http://data.carnegiehall.org/names/41025","Charles Strouse","http://www.wikidata.org/entity/Q2960275"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102450","Aquarela do Brasil","http://data.carnegiehall.org/names/1001189","Ary Barroso",
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/15938","Hodie Christus natus est","http://data.carnegiehall.org/names/1005728","Giovanni Pierluigi de Palestrina","http://www.wikidata.org/entity/Q179277"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102457","Carousel: Carousel Waltz","http://data.carnegiehall.org/names/37239","Richard Rodgers","http://www.wikidata.org/entity/Q269094"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102443","Kyrie, RV 587: 2. Christe eleison","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi","http://www.wikidata.org/entity/Q1340"
"http://data.carnegiehall.org/events/34648","1983-03-04T20:00:00","The Texas Boys Choir",,,"http://data.carnegiehall.org/works/102460","The Promised Land","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/20","Das Lied","http://data.carnegiehall.org/names/1007336","Louis Spohr","http://www.wikidata.org/entity/Q57226"
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/22177","Die Sturmesbeschwörung","http://data.carnegiehall.org/names/1005781","Johann Rupprecht Dürrner",
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/21600","Lecture","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/21600","Lecture","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/7610","Sechs Lieder: Der Jäger Abschied, Op. 50, No. 2","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/16564","Wie's daheim war","http://data.carnegiehall.org/names/1000665","Gustav Wohlgemuth","http://www.wikidata.org/entity/Q1556557"
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/25800","Schifferlied","http://data.carnegiehall.org/names/1012060",,
"http://data.carnegiehall.org/events/34649","1926-11-03T20:30:00","Lecture by Count Felix von Luckner",,,"http://data.carnegiehall.org/works/43199","Wie könnt' ich dein vergessen","http://data.carnegiehall.org/names/1012061","Karl Ferdinand Adam","http://www.wikidata.org/entity/Q6371779"
"http://data.carnegiehall.org/events/34650","1930-11-16T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/27691","Meine Seele erhebt den Herren, BWV 648","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/34650","1930-11-16T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/56408","Wachet auf, ruft uns die Stimme, BWV 645","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
