"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/33654","1920-12-22T20:15:00","Jacques Pintel, Piano",,,"http://data.carnegiehall.org/works/26652","Prelude in F-sharp Minor","http://data.carnegiehall.org/names/8028","Jacques Pintel",
"http://data.carnegiehall.org/events/33654","1920-12-22T20:15:00","Jacques Pintel, Piano",,,"http://data.carnegiehall.org/works/8276","Prelude in F-sharp Minor","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/33655","1958-01-18T14:30:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/3214","Grosse Fuge in B-flat Major, Op. 133","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/33655","1958-01-18T14:30:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/22168","Violin Concerto in D Major, Op. 77","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/33655","1958-01-18T14:30:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/4493","Le martyre de St Sébastien: Act I. Dance of Ecstasy and Finale","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/33655","1958-01-18T14:30:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/13337","Death and Transfiguration, Op. 24","http://data.carnegiehall.org/names/39889","Richard Strauss","http://www.wikidata.org/entity/Q13894"
"http://data.carnegiehall.org/events/33655","1958-01-18T14:30:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/37952","Le martyre de St Sébastien: La cour des lys","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/44234","The Star Spangled Banner","http://data.carnegiehall.org/names/1001443","John Stafford Smith","http://www.wikidata.org/entity/Q563098"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/43227","Tre giorni son che Nina","http://data.carnegiehall.org/names/1002219","Giovanni Battista Pergolesi","http://www.wikidata.org/entity/Q185312"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/47644","Hebrew Melody, Op. 33","http://data.carnegiehall.org/names/34772","Joseph Achron","http://www.wikidata.org/entity/Q1706412"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/46853","Israel in Egypt, HWV 54: Thanks be to Thee","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/17739","Baal Shem: Three Pictures of Chassidic Life: Simchath Torah","http://data.carnegiehall.org/names/31210","Ernest Bloch","http://www.wikidata.org/entity/Q123234"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/32189","Già il sole dal Gange","http://data.carnegiehall.org/names/1002870","Alessandro Scarlatti","http://www.wikidata.org/entity/Q183087"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/58264","Benediction","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/53632","Polonaise Brillante No. 1 in D Major, Op. 4","http://data.carnegiehall.org/names/1002506","Henryk Wieniawski","http://www.wikidata.org/entity/Q272184"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/46058","Romanian Folkdances","http://data.carnegiehall.org/names/39524","Béla Bartók","http://www.wikidata.org/entity/Q83326"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/39097","Don Giovanni, K. 527: Deh, vieni alla finestra","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/48032","Sonata for Violin in A Major, RV 31","http://data.carnegiehall.org/names/1002833","Antonio Vivaldi","http://www.wikidata.org/entity/Q1340"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/20327","Zazà: Zazà, piccola zingara","http://data.carnegiehall.org/names/37290","Ruggero Leoncavallo","http://www.wikidata.org/entity/Q189015"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/16200","Awards Presentation","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/13809","Adelaide, Op. 46","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/33631","La traviata: Act II. Di provenza, il mar","http://data.carnegiehall.org/names/1010847","Giuseppe Verdi","http://www.wikidata.org/entity/Q7317"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/51816","Lament of the Six Million","http://data.carnegiehall.org/names/61074","William Gunther",
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/44050","Otello: Act II. Credo in uno Dio crudel","http://data.carnegiehall.org/names/1010847","Giuseppe Verdi","http://www.wikidata.org/entity/Q7317"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/6485","Orazio Cocle: Se nel ben sempre incostante","http://data.carnegiehall.org/names/1008362","Alessandro Stradella","http://www.wikidata.org/entity/Q314765"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/46084","Hatikvah","http://data.carnegiehall.org/names/1026860","Samuel Cohen","http://www.wikidata.org/entity/Q983703"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/11311","Il trovatore: Act II. Il balen del suo sorriso","http://data.carnegiehall.org/names/1010847","Giuseppe Verdi","http://www.wikidata.org/entity/Q7317"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/51420","4 Lieder, Op. 27: 2. Cäcilie","http://data.carnegiehall.org/names/39889","Richard Strauss","http://www.wikidata.org/entity/Q13894"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/7535","Partita No. 2 for Solo Violin in D Minor, BWV 1004: Sarabande","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/33656","1964-03-15T14:00:00","A Salute to America's Six Million",,,"http://data.carnegiehall.org/works/43524","Mythes, Op. 30: 1. La fontaine d'Arethuse","http://data.carnegiehall.org/names/1005156","Karol Szymanowski","http://www.wikidata.org/entity/Q295400"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/47457","Stornellatrice","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/43805","Passione","http://data.carnegiehall.org/names/1001193","Ernesto Tagliaferri",
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/51500","Rigoletto: Act I. Questa o quella","http://data.carnegiehall.org/names/1010847","Giuseppe Verdi","http://www.wikidata.org/entity/Q7317"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/600","Andrea Chénier: Act I. Un dì all'azzurro spazio","http://data.carnegiehall.org/names/1008127","Umberto Giordano","http://www.wikidata.org/entity/Q294826"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/3997","Adriana Lecouvreur: L'anima ho stanca","http://data.carnegiehall.org/names/1010281","Francesco Cilea","http://www.wikidata.org/entity/Q250952"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/298","L'Africaine: Act IV. O paradiso!","http://data.carnegiehall.org/names/1006391","Giacomo Meyerbeer","http://www.wikidata.org/entity/Q105237"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/52392","Carrettieri","http://data.carnegiehall.org/names/1008269","Alfonso Gibilaro",
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/51708","Turandot: Act III, Scene 1. Nessun dorma","http://data.carnegiehall.org/names/1004603","Giacomo Puccini","http://www.wikidata.org/entity/Q7311"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/23147","Tu ca nun chiagne!","http://data.carnegiehall.org/names/36788","Ernesto De Curtis","http://www.wikidata.org/entity/Q1356854"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/612","Autunno","http://data.carnegiehall.org/names/36788","Ernesto De Curtis","http://www.wikidata.org/entity/Q1356854"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/40771","Alla danza","http://data.carnegiehall.org/names/1004700","Santiago Cittadini",
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/48902","Les soirées musicales: 8. La danza","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/33658","1959-04-22T20:30:00","Giovanni Consiglio, Tenor",,,"http://data.carnegiehall.org/works/401","I te vurrià vasà","http://data.carnegiehall.org/names/1005192","Eduardo Di Capua","http://www.wikidata.org/entity/Q506089"
