"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/67542","1958-05-09T20:30:00","Phillip Evans, Piano",,,"http://data.carnegiehall.org/works/45667","Étude in C-sharp Minor, Op. 10, No. 4","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/67543","1958-05-10T09:00:00","Educational Lecture by L. H. Alexander",,,"http://data.carnegiehall.org/works/21600","Lecture","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67544","1958-05-10T20:30:00","Regina Gray, Soprano, and Splendora Leone, Piano",,,"http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67545","1958-05-11T11:00:00","Church of the Truth",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67546","1958-05-11T11:00:00","Church of Divine Unity",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67547","1958-05-14T12:15:00","Church of Divine Unity",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67548","1958-05-14T20:00:00","Church of Divine Unity",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110744","At the Circus","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110821","Poems of Paul Swan (in words and movement)","http://data.carnegiehall.org/names/56598","Paul Swan","http://www.wikidata.org/entity/Q2062653"
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/111153","The Receptive or the Cynical Mind of the Audience","http://data.carnegiehall.org/names/56598","Paul Swan","http://www.wikidata.org/entity/Q2062653"
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110292","Orientale","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/109454","Corner in Montmartre","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110676","Musical Designs on the Canvas of Space","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/109457","Before the Great Silence","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110743","At a French Country Dance","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67549","1958-05-11T20:30:00","Paul Swan, Dancer","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/110290","Forgotten Dreams","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67550","1958-05-11T10:00:00","Film Screening presented by Adele Wolkin",,,"http://data.carnegiehall.org/works/21146","Film screening","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67551","1958-05-11T20:00:00","Meeting: Fellows of Odessa",,,"http://data.carnegiehall.org/works/6078","Addresses","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/111162","Piano Trio in G Minor, Op. 17: 3. Andante","http://data.carnegiehall.org/names/1010839","Clara Schumann","http://www.wikidata.org/entity/Q132232"
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/111160","Piano Quartet in A-flat Major: 1. Allegro moderato","http://data.carnegiehall.org/names/1004707","Fanny Mendelssohn","http://www.wikidata.org/entity/Q57286"
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/50786","3 Romanzen, Op. 22: 1. Romance in D-flat Major","http://data.carnegiehall.org/names/1010839","Clara Schumann","http://www.wikidata.org/entity/Q132232"
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/111161","Piano Quartet in A Minor: 1. Allegro molto moderato","http://data.carnegiehall.org/names/1026221","Elfrida Andrée","http://www.wikidata.org/entity/Q451495"
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/111163","Motion","http://data.carnegiehall.org/names/1026222","Erica Porter",
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/1315","Remarks","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67552","2021-11-17T20:00:00","UN Chamber Music Society Concert for Village Health Works",,,"http://data.carnegiehall.org/works/1315","Remarks","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67553","1960-04-04T10:00:00","Philharmonic-Symphony Painters Club Exhibition",,,"http://data.carnegiehall.org/works/111133","Exhibition","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111175","Kannel, kannel (Estonian)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111170","Karjalan mail","http://data.carnegiehall.org/names/1000658","Oskar Merikanto","http://www.wikidata.org/entity/Q455630"
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111173","Tule illalla","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111172","Heilani kamari","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111174","Hilu hilu","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111171","Näsijärven Rannalla","http://data.carnegiehall.org/names/1002162","Selim Palmgren",
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111176","3 Soldiers' Songs","http://data.carnegiehall.org/names/125979","Aapo Similä","http://www.wikidata.org/entity/Q9321633"
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111168","The Bells of Kallio Church, Op. 65b","http://data.carnegiehall.org/names/1001010","Jean Sibelius","http://www.wikidata.org/entity/Q45682"
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/111169","Maailman tie","http://data.carnegiehall.org/names/1000658","Oskar Merikanto","http://www.wikidata.org/entity/Q455630"
"http://data.carnegiehall.org/events/67554","1938-12-03T20:30:00","Aapo Similä, Kantele Player and Folk Singer","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/51083","Sonata No. 3 for Solo Violin in C Major, BWV 1005: 2. Fuga","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/11959","Scherzo-Tarantelle in G Minor, Op. 16","http://data.carnegiehall.org/names/1002506","Henryk Wieniawski","http://www.wikidata.org/entity/Q272184"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/56252","Violin Concerto No. 1 in G Minor, Op. 26","http://data.carnegiehall.org/names/1008524","Max Bruch","http://www.wikidata.org/entity/Q106434"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/111177","Méditation, Op. 42, No. 1","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/111178","Hebrew Song, Op. 7, No. 2","http://data.carnegiehall.org/names/1005079","Nikolay Rimsky-Korsakov","http://www.wikidata.org/entity/Q93227"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/33908","Bohemian Folk Song, ""Moonlight""","http://data.carnegiehall.org/names/44095","Alois Trnka",
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/37967","Hungarian Dance No. 4 in B Minor","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/67555","1920-05-09T20:15:00","Isabella Zimbler, Violin",,,"http://data.carnegiehall.org/works/111179","Dance Caprice, Op. 10, No. 1","http://data.carnegiehall.org/names/37428","Alois Reiser",
"http://data.carnegiehall.org/events/67557","2021-11-18T19:00:00","The Orchestra Now",,,"http://data.carnegiehall.org/works/111190","Arcadian Symphonie, Op. 50","http://data.carnegiehall.org/names/10191","George Frederick Bristow","http://www.wikidata.org/entity/Q322883"
"http://data.carnegiehall.org/events/67557","2021-11-18T19:00:00","The Orchestra Now",,,"http://data.carnegiehall.org/works/111189","Violin Concerto No. 2, ""Birds of America""","http://data.carnegiehall.org/names/59262","Scott Wheeler","http://www.wikidata.org/entity/Q7437496"
"http://data.carnegiehall.org/events/67557","2021-11-18T19:00:00","The Orchestra Now",,,"http://data.carnegiehall.org/works/111188","Stabat Mater","http://data.carnegiehall.org/names/1017911","Julia Perry","http://www.wikidata.org/entity/Q2754110"
"http://data.carnegiehall.org/events/67558","2021-11-19T19:30:00","Chamber Orchestra of New York",,,"http://data.carnegiehall.org/works/44791","Concerto for Harpsichord in D Minor, BWV 1052","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/67558","2021-11-19T19:30:00","Chamber Orchestra of New York",,,"http://data.carnegiehall.org/works/111191","Guitar Quintet in D Major, G. 448, ""Fandango"": 4. Fandango","http://data.carnegiehall.org/names/1010267","Luigi Boccherini","http://www.wikidata.org/entity/Q189766"
