"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/83137","Liadov Fanfare","http://data.carnegiehall.org/names/1016035","Brian Beck",
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/14641","Entry March of the Boyars, Op. 17","http://data.carnegiehall.org/names/1007888","Johan Halvorsen","http://www.wikidata.org/entity/Q449172"
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/83141","Le Petit Journal","http://data.carnegiehall.org/names/36623","Michel Legrand","http://www.wikidata.org/entity/Q313281"
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/83138","Hunting Wabbits","http://data.carnegiehall.org/names/80780","Gordon L. Goodwin",
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/67180","Wind Sprints","http://data.carnegiehall.org/names/1012579","Richard L. Saucedo",
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/48529","Symphonic Suite","http://data.carnegiehall.org/names/1007377","Clifton Williams",
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/39671","Lohengrin: Act II. Elsa's Procession to the Cathedral","http://data.carnegiehall.org/names/1000277","Richard Wagner","http://www.wikidata.org/entity/Q1511"
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/51967","The Earle of Oxford's March","http://data.carnegiehall.org/names/1005270","William Byrd",
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/85536","Festive Overture, Op. 96","http://data.carnegiehall.org/names/1002763","Dmitry Shostakovich","http://www.wikidata.org/entity/Q80135"
"http://data.carnegiehall.org/events/49146","2011-03-08T13:00:00","New York Wind Band Festival",,,"http://data.carnegiehall.org/works/83139","Biedna","http://data.carnegiehall.org/names/1016036","Janusz Koman",
