"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/1353","1914-12-13T20:30:00","Elmendorf Lecture: Norway",,,"http://data.carnegiehall.org/works/21600","Lecture","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/1354","1914-12-20T20:00:00","Elmendorf Lecture: Flowers from Many Lands",,,"http://data.carnegiehall.org/works/21600","Lecture","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/1355","1979-04-18T20:00:00","Hubert Laws, Freddie Hubbard, Dave Valentin, and Art Webb","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/1356","1970-05-24T20:30:00","Sabah","http://data.carnegiehall.org/genres/114","world music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/1357","1989-11-04T20:00:00","George Benson, Singer-Guitarist","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/1357","1989-11-04T20:00:00","George Benson, Singer-Guitarist","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/1357","1989-11-04T20:00:00","George Benson, Singer-Guitarist","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/1360","1927-12-13T20:30:00","Ernesto Berúmen, Piano",,,"http://data.carnegiehall.org/works/8543","Nocturne (unspecified)","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/1360","1927-12-13T20:30:00","Ernesto Berúmen, Piano",,,"http://data.carnegiehall.org/works/38839","Waltz (unspecified)","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/1360","1927-12-13T20:30:00","Ernesto Berúmen, Piano",,,"http://data.carnegiehall.org/works/38856","Années de pèlerinage, 2e année, Italie, S. 161: Sonetto del Petrarca","http://data.carnegiehall.org/names/1001205","Franz Liszt","http://www.wikidata.org/entity/Q41309"
"http://data.carnegiehall.org/events/1360","1927-12-13T20:30:00","Ernesto Berúmen, Piano",,,"http://data.carnegiehall.org/works/17579","Suite bergamasque: 3. Clair de lune","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/1360","1927-12-13T20:30:00","Ernesto Berúmen, Piano",,,"http://data.carnegiehall.org/works/2465","Barcarolle in F-sharp Major, Op. 60","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
