"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/20140","1919-02-19T15:00:00","Russian Symphony Society of New York",,,"http://data.carnegiehall.org/works/38969","Symphony No. 5 in E Minor, Op. 64","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/20141","1996-09-28T20:30:00","Sung Yoon Kim, Flute",,,"http://data.carnegiehall.org/works/11994","Airs Valaques, Op. 10","http://data.carnegiehall.org/names/1001085","Franz Doppler","http://www.wikidata.org/entity/Q711460"
"http://data.carnegiehall.org/events/20141","1996-09-28T20:30:00","Sung Yoon Kim, Flute",,,"http://data.carnegiehall.org/works/22794","Pièces de viole, 2e livre: Les folies d'Espagne","http://data.carnegiehall.org/names/1004125","Marin Marais","http://www.wikidata.org/entity/Q213519"
"http://data.carnegiehall.org/events/20141","1996-09-28T20:30:00","Sung Yoon Kim, Flute",,,"http://data.carnegiehall.org/works/20637","6 Épigraphes antiques","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/20141","1996-09-28T20:30:00","Sung Yoon Kim, Flute",,,"http://data.carnegiehall.org/works/18369","Chant de Linos","http://data.carnegiehall.org/names/1008429","André Jolivet","http://www.wikidata.org/entity/Q316280"
"http://data.carnegiehall.org/events/20141","1996-09-28T20:30:00","Sung Yoon Kim, Flute",,,"http://data.carnegiehall.org/works/23661","Dies Irae","http://data.carnegiehall.org/names/1003870",,
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/54263","Marche militaire in D Major D. 733","http://data.carnegiehall.org/names/1002249","Franz Schubert","http://www.wikidata.org/entity/Q7312"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/32058","Suite in B-flat Major, Op. 204: 3. Rigaudon","http://data.carnegiehall.org/names/1001140","Joachim Raff","http://www.wikidata.org/entity/Q547301"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/52285","Orfeo ed Euridice: Act II. Dance of the Blessed Spirits","http://data.carnegiehall.org/names/1008384","Christoph Willibald Gluck","http://www.wikidata.org/entity/Q130759"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/39290","Orfeo ed Euridice: Act II. Dance of the Furies","http://data.carnegiehall.org/names/1008384","Christoph Willibald Gluck","http://www.wikidata.org/entity/Q130759"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/12148","Euryanthe: Overture","http://data.carnegiehall.org/names/1004864","Carl Maria von Weber","http://www.wikidata.org/entity/Q154812"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/29109","Piano Concerto No. 1 in E Minor, Op. 11: 2. Romance","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/20143","1902-11-29T14:30:00","Symphony Concert for Young People",,,"http://data.carnegiehall.org/works/40267","Piano Concerto No. 1 in E Minor, Op. 11: 3. Rondo","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
