"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/8290","1946-06-08T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/works/45103","La bohème: Act II. Quando m'en vo'","http://data.carnegiehall.org/names/1004603","Giacomo Puccini","http://www.wikidata.org/entity/Q7311"
"http://data.carnegiehall.org/events/8291","1946-05-31T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/8291","1946-05-31T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/8292","1951-12-28T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/22131","Symphony No. 2 in D Major, Op. 73","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/8292","1951-12-28T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/55647","Orchestral Suite No. 3 in D Major, BWV 1068","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/8292","1951-12-28T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/24919","Violin Concerto in E Minor, Op. 64","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/51078","Geschichten aus dem Wienerwald, Op. 325","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/57073","Leonore Overture No. 3, Op. 72b","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/36543","Serenade in D Major, K. 286 (""Notturno"")","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/10559","On the Beautiful Blue Danube, Op. 314","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/8293","1949-10-23T14:45:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/44930","Symphony No. 3, Op. 42, ""Il'ya Muromets""","http://data.carnegiehall.org/names/1005233","Reinhold Glière","http://www.wikidata.org/entity/Q316795"
"http://data.carnegiehall.org/events/8294","1950-01-07T14:30:00","Myra Hess, Piano",,,"http://data.carnegiehall.org/works/16185","Fantasia in D Minor, K. 397","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/8294","1950-01-07T14:30:00","Myra Hess, Piano",,,"http://data.carnegiehall.org/works/52283","Piano Sonata in G Major, K. 283","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/8294","1950-01-07T14:30:00","Myra Hess, Piano",,,"http://data.carnegiehall.org/works/11239","Waltzes, Op. 39","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/8294","1950-01-07T14:30:00","Myra Hess, Piano",,,"http://data.carnegiehall.org/works/20715","Études symphoniques, Op. 13","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/8294","1950-01-07T14:30:00","Myra Hess, Piano",,,"http://data.carnegiehall.org/works/1036","Piano Sonata No. 31 in A-flat Major, Op. 110","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/8295","1979-12-23T14:00:00","Masterwork Chorus and Orchestra",,,"http://data.carnegiehall.org/works/43999","Messiah, HWV 56","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/8296","1979-12-23T18:30:00","Masterwork Chorus and Orchestra",,,"http://data.carnegiehall.org/works/43999","Messiah, HWV 56","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/8297","1943-11-18T20:45:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/2592","Ode, Elegiacal Chant in Three Parts","http://data.carnegiehall.org/names/12468","Igor Stravinsky","http://www.wikidata.org/entity/Q7314"
"http://data.carnegiehall.org/events/8297","1943-11-18T20:45:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/47764","Pictures at an Exhibition","http://data.carnegiehall.org/names/1004504","Modest Mussorgsky","http://www.wikidata.org/entity/Q132682"
"http://data.carnegiehall.org/events/8297","1943-11-18T20:45:00","Boston Symphony Orchestra",,,"http://data.carnegiehall.org/works/38969","Symphony No. 5 in E Minor, Op. 64","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/54311","Zipperfly (The New Suit)","http://data.carnegiehall.org/names/42852","Marc Blitzstein","http://www.wikidata.org/entity/Q918359"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/20260","The Three Twins: Yama Yama Man","http://data.carnegiehall.org/names/1005134","Karl L. Hoschna","http://www.wikidata.org/entity/Q87034"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/5324","Cabaret Songs, Vol. I: Waitin'","http://data.carnegiehall.org/names/4967","William Bolcom",
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/3336","Mostly about Love: 4. A Prayer to St. Catherine","http://data.carnegiehall.org/names/1867","Virgil Thomson","http://www.wikidata.org/entity/Q544485"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/34827","Gedichte von Eduard Mörike: 5. Der Tambour","http://data.carnegiehall.org/names/1003059","Hugo Wolf","http://www.wikidata.org/entity/Q215747"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/35838","A Little Closer, Please","http://data.carnegiehall.org/names/1010696","Paul Bowles","http://www.wikidata.org/entity/Q358342"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/2508","jimmie's got a goil","http://data.carnegiehall.org/names/42852","Marc Blitzstein","http://www.wikidata.org/entity/Q918359"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/13733","Cabaret Songs, Vol. I: Song of Black Max","http://data.carnegiehall.org/names/4967","William Bolcom",
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/34140","Gedichte von Eduard Mörike: 33. Peregrina I","http://data.carnegiehall.org/names/1003059","Hugo Wolf","http://www.wikidata.org/entity/Q215747"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/29755","If thou a reason dost desire to know","http://data.carnegiehall.org/names/1867","Virgil Thomson","http://www.wikidata.org/entity/Q544485"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/14318","Two by Marianne Moore: 1. English Usage","http://data.carnegiehall.org/names/1867","Virgil Thomson","http://www.wikidata.org/entity/Q544485"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/24876","Lady, be Good!: Oh, Lady, Be Good!","http://data.carnegiehall.org/names/34823","George Gershwin","http://www.wikidata.org/entity/Q123829"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/363","Gedichte von Eduard Mörike: 34. Peregrina II","http://data.carnegiehall.org/names/1003059","Hugo Wolf","http://www.wikidata.org/entity/Q215747"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/26082","Blue Mountain Ballads: 2. Lonesome Man","http://data.carnegiehall.org/names/1010696","Paul Bowles","http://www.wikidata.org/entity/Q358342"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/14188","Recuerdo","http://data.carnegiehall.org/names/26025","John Musto",
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/20261","A Love Anthology: Kidnap Poem","http://data.carnegiehall.org/names/1009843","Eric Klein",
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/18851","Tel jour, telle nuit","http://data.carnegiehall.org/names/37816","Francis Poulenc","http://www.wikidata.org/entity/Q191408"
"http://data.carnegiehall.org/events/8298","1989-02-13T20:00:00","William Sharp, Baritone",,,"http://data.carnegiehall.org/works/54250","Secret Words: April Fool Baby","http://data.carnegiehall.org/names/1010696","Paul Bowles","http://www.wikidata.org/entity/Q358342"
