"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/28403","1998-10-23T20:00:00","Meridian String Quartet",,,"http://data.carnegiehall.org/works/40008","String Quartet No. 3 in E-flat Major","http://data.carnegiehall.org/names/1005806","Juan Crisóstomo de Arriaga","http://www.wikidata.org/entity/Q313669"
"http://data.carnegiehall.org/events/28403","1998-10-23T20:00:00","Meridian String Quartet",,,"http://data.carnegiehall.org/works/16382","String Quartet in A Major, Op. 41, No. 3","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/28404","1926-11-21T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/6414","The Taming of the Shrew, Op. 25","http://data.carnegiehall.org/names/1008641","Johan Wagenaar","http://www.wikidata.org/entity/Q209898"
"http://data.carnegiehall.org/events/28404","1926-11-21T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/1859","The Firebird: Suite (1919 Version)","http://data.carnegiehall.org/names/12468","Igor Stravinsky","http://www.wikidata.org/entity/Q7314"
"http://data.carnegiehall.org/events/28404","1926-11-21T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/59146","Mephisto Waltz No. 1, S. 110/2","http://data.carnegiehall.org/names/1001205","Franz Liszt","http://www.wikidata.org/entity/Q41309"
"http://data.carnegiehall.org/events/28404","1926-11-21T15:00:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/491","Impressions d'Italie","http://data.carnegiehall.org/names/1002760","Gustave Charpentier","http://www.wikidata.org/entity/Q311663"
"http://data.carnegiehall.org/events/28405","1999-02-26T20:00:00","Ts'ong Fou, Piano",,,"http://data.carnegiehall.org/works/27052","24 Preludes, Op. 28","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/28405","1999-02-26T20:00:00","Ts'ong Fou, Piano",,,"http://data.carnegiehall.org/works/4573","Ballade No. 2 in F Major, Op. 38","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/28405","1999-02-26T20:00:00","Ts'ong Fou, Piano",,,"http://data.carnegiehall.org/works/385","Scherzo No. 3 in C-sharp Minor, Op. 39","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/28405","1999-02-26T20:00:00","Ts'ong Fou, Piano",,,"http://data.carnegiehall.org/works/14471","4 Mazurkas, Op. 24","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
