"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/24408","1903-02-15T15:45:00","Meeting: YMCA/ Mass Meeting for Men",,,"http://data.carnegiehall.org/works/4930","Address","http://data.carnegiehall.org/names/1001360",,
"http://data.carnegiehall.org/events/24408","1903-02-15T15:45:00","Meeting: YMCA/ Mass Meeting for Men",,,"http://data.carnegiehall.org/works/36215","America","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/50404","Je ne suis qu'une bergère","http://data.carnegiehall.org/names/1010848","François-André Danican Philidor","http://www.wikidata.org/entity/Q203229"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/55283","Song of the Open","http://data.carnegiehall.org/names/53636","Frank La Forge","http://www.wikidata.org/entity/Q5487829"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/34906","6 Songs, Op. 8: 4. Polyubila ya na pechal' svoyu (I have Grown Fond of Sorrow)","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/68236","The Dawn","http://data.carnegiehall.org/names/66611","Guy d' Hardelot","http://www.wikidata.org/entity/Q5622702"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/49052","Spanisches Liederbuch, Weltliche Lieder: 5. Auf dem grünen Balkon","http://data.carnegiehall.org/names/1003059","Hugo Wolf","http://www.wikidata.org/entity/Q215747"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/49875","Tausend Sterne","http://data.carnegiehall.org/names/1002263","Leo Blech","http://www.wikidata.org/entity/Q66190"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/55505","Sylvelin, Op. 55, No. 1","http://data.carnegiehall.org/names/1001413","Christian Sinding",
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/11670","Canciones clásicas españolas, Vol. 1: 7. Coplas de curro dulce","http://data.carnegiehall.org/names/1007919","Fernando Obradors","http://www.wikidata.org/entity/Q3026218"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/32929","Waiata Maori","http://data.carnegiehall.org/names/1005869","Alfred Hill","http://www.wikidata.org/entity/Q1970611"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/3296","Two Songs: Ma elän, Op. 71, No. 1","http://data.carnegiehall.org/names/1000658","Oskar Merikanto","http://www.wikidata.org/entity/Q455630"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/28603","Quelle souffrance","http://data.carnegiehall.org/names/1001138","René Lenormand","http://www.wikidata.org/entity/Q7313753"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/35430","I came with a song","http://data.carnegiehall.org/names/53636","Frank La Forge","http://www.wikidata.org/entity/Q5487829"
"http://data.carnegiehall.org/events/24409","1927-12-11T15:00:00","Frances Alda, Soprano",,,"http://data.carnegiehall.org/works/2894","Amarilli, mia bella","http://data.carnegiehall.org/names/1005904","Giulio Caccini","http://www.wikidata.org/entity/Q215308"
