"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/33508","Shéhérazade","http://data.carnegiehall.org/names/719","Maurice Ravel","http://www.wikidata.org/entity/Q1178"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/17194","Myrthen, Op. 25: 4. Jemand","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/10975","Samson et Dalila, Op. 47: Act II. Mon coeur s'ouvre à ta voix","http://data.carnegiehall.org/names/41588","Camille Saint-Saëns","http://www.wikidata.org/entity/Q150445"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/37795","7 Canciones populares Españolas","http://data.carnegiehall.org/names/1006691","Manuel de Falla","http://www.wikidata.org/entity/Q193283"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/99007","Aizver actinas un smaidi","http://data.carnegiehall.org/names/1004268","Jazeps Vitols","http://www.wikidata.org/entity/Q553252"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/48614","Myrthen, Op. 25: 3. Der Nussbaum","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/16160","Myrthen, Op. 25: 12. Lieder der Braut aus dem Liebesfrühling II","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/54595","Myrthen, Op. 25: 11. Lieder der Braut aus dem Liebesfrühling I","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/14127","Myrthen, Op. 25: 1. Widmung","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/26081","5 gedichte für eine Frauenstimme (Wesendonk-Lieder)","http://data.carnegiehall.org/names/1000277","Richard Wagner","http://www.wikidata.org/entity/Q1511"
"http://data.carnegiehall.org/events/59956","2018-10-23T20:00:00","Elina Garanca, Mezzo-Soprano and Kevin Murphy, Piano",,,"http://data.carnegiehall.org/works/22187","Carmen: Act I, Scene 5. L'amour est un oiseau rebelle (Habañera)","http://data.carnegiehall.org/names/1002900","Georges Bizet","http://www.wikidata.org/entity/Q56158"
"http://data.carnegiehall.org/events/59957","2018-10-24T19:30:00","Standard Time with Michael Feinstein: Hooray For Hollywood","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/59958","2018-10-24T19:30:00","Ralph van Raat, Piano",,,"http://data.carnegiehall.org/works/101249","Prélude, Toccata, and Scherzo","http://data.carnegiehall.org/names/48787","Pierre Boulez","http://www.wikidata.org/entity/Q156193"
"http://data.carnegiehall.org/events/59958","2018-10-24T19:30:00","Ralph van Raat, Piano",,,"http://data.carnegiehall.org/works/101248","Searching for Unison","http://data.carnegiehall.org/names/87299","Louis Andriessen","http://www.wikidata.org/entity/Q504743"
"http://data.carnegiehall.org/events/59958","2018-10-24T19:30:00","Ralph van Raat, Piano",,,"http://data.carnegiehall.org/works/7584","12 Etudes in the Minor Keys, Op. 39: 4-7. Symphonie","http://data.carnegiehall.org/names/1002861","Charles-Valentin Alkan","http://www.wikidata.org/entity/Q217068"
"http://data.carnegiehall.org/events/59958","2018-10-24T19:30:00","Ralph van Raat, Piano",,,"http://data.carnegiehall.org/works/42616","Piano Sonata No. 2 ""Concord, Mass. 1840–60"": 3. The Alcotts. Moderately","http://data.carnegiehall.org/names/1008305","Charles Ives","http://www.wikidata.org/entity/Q309648"
"http://data.carnegiehall.org/events/59958","2018-10-24T19:30:00","Ralph van Raat, Piano",,,"http://data.carnegiehall.org/works/50407","Etude retrouvée (Pour les arpèges composés)","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/59959","2018-10-25T19:30:00","Pierre-Laurent Aimard, Piano and Tamara Stefanovich, Piano",,,"http://data.carnegiehall.org/works/20562","Sites auriculaires","http://data.carnegiehall.org/names/719","Maurice Ravel","http://www.wikidata.org/entity/Q1178"
"http://data.carnegiehall.org/events/59959","2018-10-25T19:30:00","Pierre-Laurent Aimard, Piano and Tamara Stefanovich, Piano",,,"http://data.carnegiehall.org/works/103963","7 Pieces from Mikrokosmos, BB 120","http://data.carnegiehall.org/names/39524","Béla Bartók","http://www.wikidata.org/entity/Q83326"
"http://data.carnegiehall.org/events/59959","2018-10-25T19:30:00","Pierre-Laurent Aimard, Piano and Tamara Stefanovich, Piano",,,"http://data.carnegiehall.org/works/101250","Keyboard Engine, A Construction for Two Pianos","http://data.carnegiehall.org/names/69850","Harrison Birtwistle","http://www.wikidata.org/entity/Q354335"
"http://data.carnegiehall.org/events/59959","2018-10-25T19:30:00","Pierre-Laurent Aimard, Piano and Tamara Stefanovich, Piano",,,"http://data.carnegiehall.org/works/76362","Visions de l'Amen","http://data.carnegiehall.org/names/1005414","Olivier Messiaen","http://www.wikidata.org/entity/Q151593"
"http://data.carnegiehall.org/events/59960","2018-10-25T20:00:00","Orchestra of St. Luke's",,,"http://data.carnegiehall.org/works/5238","Mass in D Minor, H.XXII:11, ""Nelson Mass""","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/59960","2018-10-25T20:00:00","Orchestra of St. Luke's",,,"http://data.carnegiehall.org/works/47618","Requiem in D Minor, K. 626","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103385","Guys and Dolls: If I Were a Bell","http://data.carnegiehall.org/names/1010573","Frank Loesser","http://www.wikidata.org/entity/Q966018"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103383","Run With Jones","http://data.carnegiehall.org/names/71702","Miguel Zenón","http://www.wikidata.org/entity/Q1326187"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103384","Medley: We're Still Here / He's Alright","http://data.carnegiehall.org/names/31923","Wycliffe Gordon","http://www.wikidata.org/entity/Q367487"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/36276","Shiny Stockings","http://data.carnegiehall.org/names/45377","Frank Foster","http://www.wikidata.org/entity/Q489245"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103381","Light Blue","http://data.carnegiehall.org/names/37227","Thelonious Monk","http://www.wikidata.org/entity/Q109612"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103379","Brother Mister","http://data.carnegiehall.org/names/26105","Christian McBride","http://www.wikidata.org/entity/Q732319"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103380","Speak No Evil","http://data.carnegiehall.org/names/43976","Wayne Shorter","http://www.wikidata.org/entity/Q317161"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103387","Make Someone Happy","http://data.carnegiehall.org/names/24847","Jule Styne","http://www.wikidata.org/entity/Q587741"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103382","The Ambitious Violet","http://data.carnegiehall.org/names/63381","Sean Jones","http://www.wikidata.org/entity/Q7441108"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103388","I Be Serious 'bout Dem Blues","http://data.carnegiehall.org/names/13060","John Clayton","http://www.wikidata.org/entity/Q253285"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103386","The Windmills of Your Mind","http://data.carnegiehall.org/names/36623","Michel Legrand","http://www.wikidata.org/entity/Q313281"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/103389","R&P","http://data.carnegiehall.org/names/1023296","Igmar Thomas",
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/40128","Tip Toe","http://data.carnegiehall.org/names/41140","Thad Jones","http://www.wikidata.org/entity/Q539883"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/18543","Giant Steps","http://data.carnegiehall.org/names/22388","John Coltrane","http://www.wikidata.org/entity/Q7346"
"http://data.carnegiehall.org/events/59961","2018-07-27T20:00:00","NYO Jazz","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/works/61214","Far East Suite: Isfahan","http://data.carnegiehall.org/names/4806","Duke Ellington","http://www.wikidata.org/entity/Q4030"
