"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/17249","12 Songs, Op. 21: 4. Oni otvechali (They Answered)","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/81035","Improvisations on Carmen","http://data.carnegiehall.org/names/86452","Stef-Albert Bothma",
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/29641","Abschiedslieder: Mond, so gehst du wieder auf, Op. 14, No. 3","http://data.carnegiehall.org/names/1000627","Erich Wolfgang Korngold","http://www.wikidata.org/entity/Q313371"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/17017","15 Songs, Op. 26: 2. Vsyo otnyal u menya (He Took All from Me)","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/12077","Song","http://data.carnegiehall.org/names/1004041","Kurt Weill","http://www.wikidata.org/entity/Q55004"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/81034","Abschiedslieder: Sterbelied, Op. 14, No. 1","http://data.carnegiehall.org/names/1000627","Erich Wolfgang Korngold","http://www.wikidata.org/entity/Q313371"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/81036","Song","http://data.carnegiehall.org/names/86452","Stef-Albert Bothma",
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/81032","L'incoronazione di Poppea, SV 308: Act III, Scene 7. Pur ti miro, pur ti godo","http://data.carnegiehall.org/names/1010617","Claudio Monteverdi","http://www.wikidata.org/entity/Q53068"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/21969","12 Songs, Op. 21: 7. Zdes' khorosho (How fair this spot)","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/58246","Selection (unspecified)","http://data.carnegiehall.org/names/57697","Leonard Bernstein","http://www.wikidata.org/entity/Q152505"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/81033","Abschiedslieder: Dies eine kann mein Sehnen nimmer fassen, Op. 14, No. 2","http://data.carnegiehall.org/names/1000627","Erich Wolfgang Korngold","http://www.wikidata.org/entity/Q313371"
"http://data.carnegiehall.org/events/48193","2010-01-23T14:00:00","Canzone: Music on Canvas, 57x7",,,"http://data.carnegiehall.org/works/28662","6 Songs, Op. 4: 3. V molchan'i nochi taynoy (In the silence of the secret night)","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/48194","2010-01-23T20:30:00","Kun Yao and John Granger Fisher, Piano",,,"http://data.carnegiehall.org/works/18758","Piano Sonata in E-flat Minor, Op. 26","http://data.carnegiehall.org/names/1005021","Samuel Barber","http://www.wikidata.org/entity/Q216870"
"http://data.carnegiehall.org/events/48194","2010-01-23T20:30:00","Kun Yao and John Granger Fisher, Piano",,,"http://data.carnegiehall.org/works/7017","Islamey, ""Oriental Fantasy""","http://data.carnegiehall.org/names/1010587","Mily Balakirev","http://www.wikidata.org/entity/Q185040"
"http://data.carnegiehall.org/events/48194","2010-01-23T20:30:00","Kun Yao and John Granger Fisher, Piano",,,"http://data.carnegiehall.org/works/18759","Carnaval, Op. 9","http://data.carnegiehall.org/names/1000525","Robert Schumann","http://www.wikidata.org/entity/Q7351"
"http://data.carnegiehall.org/events/48194","2010-01-23T20:30:00","Kun Yao and John Granger Fisher, Piano",,,"http://data.carnegiehall.org/works/34860","Variations on a Theme by Paganini, Op. 35, Book I","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/48194","2010-01-23T20:30:00","Kun Yao and John Granger Fisher, Piano",,,"http://data.carnegiehall.org/works/41807","Isoldens Liebestod, S. 447","http://data.carnegiehall.org/names/1000277","Richard Wagner","http://www.wikidata.org/entity/Q1511"
