"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/98410","Vámonos Pa'l Monte","http://data.carnegiehall.org/names/45344","Eddie Palmieri","http://www.wikidata.org/entity/Q1282931"
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/27525","El manisero (The Peanut Vendor)","http://data.carnegiehall.org/names/1000001","Moisés Simons","http://www.wikidata.org/entity/Q661928"
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/98411","Hau Hakerek Surat Ida (Maorian)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/20728","Blue Skies","http://data.carnegiehall.org/names/779","Irving Berlin",
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/62582","(If You Can't Sing It) You'll Have To Swing It (Mr. Paganini)","http://data.carnegiehall.org/names/1001518","Sam Coslow","http://www.wikidata.org/entity/Q7407350"
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/104450","Selections (unspecified)","http://data.carnegiehall.org/names/1008058",,
"http://data.carnegiehall.org/events/57766","2016-05-13T10:15:00","Musical Explorers",,,"http://data.carnegiehall.org/works/37053","Take the ""A"" Train","http://data.carnegiehall.org/names/14271","Billy Strayhorn","http://www.wikidata.org/entity/Q380626"
"http://data.carnegiehall.org/events/57767","2016-05-13T11:45:00","Musical Explorers",,,"http://data.carnegiehall.org/works/98412","Ayun-Ayun (Indonesian)","http://data.carnegiehall.org/names/1002893",,
"http://data.carnegiehall.org/events/57767","2016-05-13T11:45:00","Musical Explorers",,,"http://data.carnegiehall.org/works/98410","Vámonos Pa'l Monte","http://data.carnegiehall.org/names/45344","Eddie Palmieri","http://www.wikidata.org/entity/Q1282931"
"http://data.carnegiehall.org/events/57767","2016-05-13T11:45:00","Musical Explorers",,,"http://data.carnegiehall.org/works/27525","El manisero (The Peanut Vendor)","http://data.carnegiehall.org/names/1000001","Moisés Simons","http://www.wikidata.org/entity/Q661928"
